Pos,No,Driver,Car,Time,Gap,Laps
1,16,Charles LeclercLEC,Ferrari,1:29.735,,23
2,1,Max VerstappenVER,Red Bull Racing RBPT,1:29.768,+0.033s,12
3,11,Sergio PerezPER,Red Bull Racing RBPT,1:29.833,+0.098s,16
4,55,Carlos SainzSAI,Ferrari,1:30.009,+0.274s,22
5,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:30.030,+0.295s,22
6,31,Esteban OconOCO,Alpine Renault,1:30.139,+0.404s,16
7,10,Pierre GaslyGAS,AlphaTauri RBPT,1:30.148,+0.413s,11
8,20,Kevin MagnussenMAG,Haas Ferrari,1:30.262,+0.527s,18
9,14,Fernando AlonsoALO,Alpine Renault,1:30.296,+0.561s,17
10,22,Yuki TsunodaTSU,AlphaTauri RBPT,1:30.415,+0.680s,19
11,44,Lewis HamiltonHAM,Mercedes,1:30.707,+0.972s,17
12,47,Mick SchumacherMSC,Haas Ferrari,1:30.765,+1.030s,17
13,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:30.946,+1.211s,20
14,63,George RussellRUS,Mercedes,1:30.983,+1.248s,15
15,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:31.067,+1.332s,18
16,3,Daniel RicciardoRIC,McLaren Mercedes,1:31.186,+1.451s,16
17,23,Alexander AlbonALB,Williams Mercedes,1:31.374,+1.639s,16
18,27,Nico HulkenbergHUL,Aston Martin Aramco Mercedes,1:31.424,+1.689s,18
19,4,Lando NorrisNOR,McLaren Mercedes,1:31.529,+1.794s,17
20,6,Nicholas LatifiLAT,Williams Mercedes,1:31.992,+2.257s,13
