Pos,No,Driver,Car,Time,Gap,Laps
1,11,Sergio PerezPER,Red Bull Racing RBPT,1:45.047,,19
2,1,Max VerstappenVER,Red Bull Racing RBPT,1:45.184,+0.137s,19
3,55,Carlos SainzSAI,Ferrari,1:45.824,+0.777s,13
4,4,Lando NorrisNOR,McLaren Mercedes,1:45.965,+0.918s,20
5,14,Fernando AlonsoALO,Alpine Renault,1:46.061,+1.014s,16
6,63,George RussellRUS,Mercedes,1:46.071,+1.024s,19
7,16,Charles LeclercLEC,Ferrari,1:46.120,+1.073s,12
8,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,1:46.166,+1.119s,18
9,31,Esteban OconOCO,Alpine Renault,1:46.601,+1.554s,24
10,10,Pierre GaslyGAS,AlphaTauri RBPT,1:46.604,+1.557s,19
11,3,Daniel RicciardoRIC,McLaren Mercedes,1:46.646,+1.599s,18
12,44,Lewis HamiltonHAM,Mercedes,1:46.769,+1.722s,20
13,6,Nicholas LatifiLAT,Williams Mercedes,1:46.811,+1.764s,20
14,23,Alexander AlbonALB,Williams Mercedes,1:46.836,+1.789s,20
15,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:46.881,+1.834s,20
16,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:46.975,+1.928s,16
17,20,Kevin MagnussenMAG,Haas Ferrari,1:46.982,+1.935s,14
18,22,Yuki TsunodaTSU,AlphaTauri RBPT,1:47.035,+1.988s,23
19,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:47.089,+2.042s,20
20,47,Mick SchumacherMSC,Haas Ferrari,1:52.494,+7.447s,6
