Pos,No,Driver,Car,Time,Gap,Laps
1,11,Sergio PerezPER,Red Bull Racing RBPT,1:12.476,,27
2,16,Charles LeclercLEC,Ferrari,1:12.517,+0.041s,29
3,55,Carlos SainzSAI,Ferrari,1:12.846,+0.370s,28
4,1,Max VerstappenVER,Red Bull Racing RBPT,1:12.881,+0.405s,29
5,10,Pierre GaslyGAS,AlphaTauri RBPT,1:13.210,+0.734s,22
6,4,Lando NorrisNOR,McLaren Mercedes,1:13.226,+0.750s,19
7,44,Lewis HamiltonHAM,Mercedes,1:13.375,+0.899s,26
8,20,Kevin MagnussenMAG,Haas Ferrari,1:13.436,+0.960s,24
9,63,George RussellRUS,Mercedes,1:13.476,+1.000s,26
10,14,Fernando AlonsoALO,Alpine Renault,1:13.585,+1.109s,23
11,22,Yuki TsunodaTSU,AlphaTauri RBPT,1:13.645,+1.169s,25
12,47,Mick SchumacherMSC,Haas Ferrari,1:13.827,+1.351s,26
13,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,1:13.838,+1.362s,28
14,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:13.849,+1.373s,25
15,23,Alexander AlbonALB,Williams Mercedes,1:13.882,+1.406s,22
16,3,Daniel RicciardoRIC,McLaren Mercedes,1:14.104,+1.628s,29
17,31,Esteban OconOCO,Alpine Renault,1:14.260,+1.784s,22
18,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:14.639,+2.163s,20
19,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:14.861,+2.385s,25
20,6,Nicholas LatifiLAT,Williams Mercedes,1:14.910,+2.434s,26
