Pos,No,Driver,Car,Time,Gap,Laps
1,16,Charles LeclercLEC,Ferrari,1:11.632,,20
2,63,George RussellRUS,Mercedes,1:11.698,+0.066s,24
3,1,Max VerstappenVER,Red Bull Racing RBPT,1:11.793,+0.161s,22
4,55,Carlos SainzSAI,Ferrari,1:11.971,+0.339s,17
5,44,Lewis HamiltonHAM,Mercedes,1:12.156,+0.524s,25
6,11,Sergio PerezPER,Red Bull Racing RBPT,1:12.176,+0.544s,29
7,14,Fernando AlonsoALO,Alpine Renault,1:12.327,+0.695s,16
8,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,1:12.491,+0.859s,25
9,47,Mick SchumacherMSC,Haas Ferrari,1:12.558,+0.926s,15
10,4,Lando NorrisNOR,McLaren Mercedes,1:12.591,+0.959s,18
11,20,Kevin MagnussenMAG,Haas Ferrari,1:12.606,+0.974s,15
12,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:12.773,+1.141s,18
13,23,Alexander AlbonALB,Williams Mercedes,1:12.775,+1.143s,18
14,31,Esteban OconOCO,Alpine Renault,1:13.003,+1.371s,20
15,10,Pierre GaslyGAS,AlphaTauri RBPT,1:13.046,+1.414s,23
16,22,Yuki TsunodaTSU,AlphaTauri RBPT,1:13.256,+1.624s,22
17,3,Daniel RicciardoRIC,McLaren Mercedes,1:13.299,+1.667s,20
18,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:13.359,+1.727s,15
19,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:13.421,+1.789s,14
20,6,Nicholas LatifiLAT,Williams Mercedes,1:13.625,+1.993s,22
