STOPS,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,TOTAL
1,31,Esteban OconOCO,Haas,1,15:05:04,30.506,30.506
1,10,Pierre GaslyGAS,Alpine,9,15:16:01,31.488,31.488
1,16,Charles LeclercLEC,Ferrari,10,15:17:18,29.634,29.634
1,30,Liam LawsonLAW,Racing Bulls,10,15:17:24,29.695,29.695
1,63,George RussellRUS,Mercedes,11,15:18:39,29.784,29.784
1,55,Carlos SainzSAI,Williams,11,15:18:40,30.080,30.080
1,14,Fernando AlonsoALO,Aston Martin,12,15:20:01,30.163,30.163
1,5,Gabriel BortoletoBOR,Kick Sauber,12,15:20:08,30.906,30.906
1,81,Oscar PiastriPIA,McLaren,13,15:21:14,30.973,30.973
1,18,Lance StrollSTR,Aston Martin,14,15:22:49,31.218,31.218
1,43,Franco ColapintoCOL,Alpine,22,15:34:00,30.317,30.317
1,4,Lando NorrisNOR,McLaren,28,15:41:39,29.513,29.513
1,1,Max VerstappenVER,Red Bull Racing,29,15:42:57,29.991,29.991
1,23,Alexander AlbonALB,Williams,29,15:43:33,30.471,30.471
1,6,Isack HadjarHAD,Racing Bulls,29,15:43:45,30.123,30.123
1,44,Lewis HamiltonHAM,Ferrari,29,15:43:46,29.949,29.949
1,12,Kimi AntonelliANT,Mercedes,29,15:43:46,30.051,30.051
2,16,Charles LeclercLEC,Ferrari,29,15:43:51,31.898,61.532
1,27,Nico HulkenbergHUL,Kick Sauber,29,15:43:56,30.184,30.184
1,87,Oliver BearmanBEA,Haas,29,15:43:58,31.414,31.414
2,63,George RussellRUS,Mercedes,29,15:43:59,30.754,60.538
1,22,Yuki TsunodaTSU,Red Bull Racing,29,15:44:05,29.807,29.807
2,55,Carlos SainzSAI,Williams,29,15:44:06,30.635,60.715
2,10,Pierre GaslyGAS,Alpine,29,15:44:19,32.003,63.491
2,30,Liam LawsonLAW,Racing Bulls,29,15:44:23,30.291,59.986
2,5,Gabriel BortoletoBOR,Kick Sauber,29,15:44:25,30.605,61.511
2,81,Oscar PiastriPIA,McLaren,30,15:45:35,30.609,61.582
2,87,Oliver BearmanBEA,Haas,31,15:47:40,56.757,88.171
2,1,Max VerstappenVER,Red Bull Racing,46,16:07:01,29.657,59.648
2,4,Lando NorrisNOR,McLaren,46,16:07:27,31.675,61.188
2,44,Lewis HamiltonHAM,Ferrari,46,16:08:01,29.950,59.899
2,6,Isack HadjarHAD,Racing Bulls,46,16:08:11,30.096,60.219
2,14,Fernando AlonsoALO,Aston Martin,46,16:08:46,30.886,61.049
2,18,Lance StrollSTR,Aston Martin,46,16:08:49,34.496,65.714
2,43,Franco ColapintoCOL,Alpine,46,16:08:56,31.107,61.424
3,5,Gabriel BortoletoBOR,Kick Sauber,46,16:09:00,29.917,91.428
2,23,Alexander AlbonALB,Williams,47,16:09:46,29.786,60.257
