STOPS,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,TOTAL
1,23,Alexander AlbonALB,Williams,6,15:11:42,30.823,30.823
1,87,Oliver BearmanBEA,Haas,8,15:14:27,22.009,22.009
1,22,Yuki TsunodaTSU,Red Bull Racing,8,15:14:32,21.868,21.868
1,27,Nico HulkenbergHUL,Kick Sauber,9,15:15:44,22.233,22.233
1,55,Carlos SainzSAI,Williams,9,15:15:53,30.547,30.547
1,10,Pierre GaslyGAS,Alpine,10,15:17:04,22.224,22.224
1,1,Max VerstappenVER,Red Bull Racing,13,15:20:54,21.869,21.869
1,43,Franco ColapintoCOL,Alpine,14,15:22:49,22.491,22.491
1,14,Fernando AlonsoALO,Aston Martin,15,15:24:11,22.782,22.782
1,44,Lewis HamiltonHAM,Ferrari,16,15:25:09,21.957,21.957
1,16,Charles LeclercLEC,Ferrari,17,15:26:25,21.863,21.863
1,30,Liam LawsonLAW,Racing Bulls,18,15:28:12,22.039,22.039
1,6,Isack HadjarHAD,Racing Bulls,19,15:29:26,21.769,21.769
1,5,Gabriel BortoletoBOR,Kick Sauber,19,15:29:42,22.041,22.041
1,63,George RussellRUS,Mercedes,20,15:30:38,21.739,21.739
1,31,Esteban OconOCO,Haas,20,15:31:09,22.554,22.554
1,4,Lando NorrisNOR,McLaren,21,15:31:41,22.454,22.454
1,12,Kimi AntonelliANT,Mercedes,21,15:32:05,22.234,22.234
1,81,Oscar PiastriPIA,McLaren,22,15:32:57,21.858,21.858
2,22,Yuki TsunodaTSU,Red Bull Racing,24,15:36:42,22.056,43.924
2,23,Alexander AlbonALB,Williams,26,15:39:35,37.674,68.497
2,1,Max VerstappenVER,Red Bull Racing,29,15:42:36,21.933,43.802
2,10,Pierre GaslyGAS,Alpine,31,15:46:11,22.006,44.230
2,55,Carlos SainzSAI,Williams,34,15:50:30,22.346,52.893
2,87,Oliver BearmanBEA,Haas,35,15:51:44,22.270,44.279
2,16,Charles LeclercLEC,Ferrari,40,15:57:36,21.893,43.756
2,43,Franco ColapintoCOL,Alpine,39,15:57:43,22.119,44.610
2,63,George RussellRUS,Mercedes,41,15:59:07,21.752,43.491
2,14,Fernando AlonsoALO,Aston Martin,42,16:01:17,22.242,45.024
2,31,Esteban OconOCO,Haas,43,16:02:48,22.468,45.022
2,30,Liam LawsonLAW,Racing Bulls,44,16:03:53,22.127,44.166
3,22,Yuki TsunodaTSU,Red Bull Racing,44,16:04:10,21.822,65.746
2,27,Nico HulkenbergHUL,Kick Sauber,45,16:05:07,21.849,44.082
2,44,Lewis HamiltonHAM,Ferrari,46,16:05:51,24.416,46.373
3,1,Max VerstappenVER,Red Bull Racing,47,16:06:47,21.802,65.604
2,4,Lando NorrisNOR,McLaren,48,16:08:03,21.863,44.317
2,6,Isack HadjarHAD,Racing Bulls,48,16:08:57,22.019,43.788
2,81,Oscar PiastriPIA,McLaren,49,16:09:17,21.838,43.696
2,12,Kimi AntonelliANT,Mercedes,49,16:10:08,23.457,45.691
2,5,Gabriel BortoletoBOR,Kick Sauber,49,16:10:54,22.953,44.994
3,81,Oscar PiastriPIA,McLaren,55,16:17:39,22.748,66.444
3,4,Lando NorrisNOR,McLaren,55,16:17:44,23.562,67.879
4,1,Max VerstappenVER,Red Bull Racing,55,16:17:48,22.197,87.801
3,14,Fernando AlonsoALO,Aston Martin,54,16:17:56,22.216,67.240
3,87,Oliver BearmanBEA,Haas,54,16:18:00,22.765,67.044
4,22,Yuki TsunodaTSU,Red Bull Racing,54,16:18:04,22.283,88.029
3,16,Charles LeclercLEC,Ferrari,55,16:18:11,22.383,66.139
3,63,George RussellRUS,Mercedes,55,16:18:15,23.167,66.658
3,44,Lewis HamiltonHAM,Ferrari,55,16:18:27,22.830,69.203
3,43,Franco ColapintoCOL,Alpine,54,16:18:38,21.874,66.484
3,6,Isack HadjarHAD,Racing Bulls,55,16:19:13,21.841,65.629
3,10,Pierre GaslyGAS,Alpine,55,16:19:42,22.818,67.048
3,55,Carlos SainzSAI,Williams,55,16:20:10,21.984,74.877
3,27,Nico HulkenbergHUL,Kick Sauber,56,16:21:05,21.904,65.986
