STOPS,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,TOTAL
1,44,Lewis HamiltonHAM,Ferrari,11,16:46:27,23.284,23.284
1,10,Pierre GaslyGAS,Alpine,11,16:46:30,26.825,26.825
1,27,Nico HulkenbergHUL,Kick Sauber,11,16:46:31,23.599,23.599
1,14,Fernando AlonsoALO,Aston Martin,11,16:46:34,23.404,23.404
1,81,Oscar PiastriPIA,McLaren,12,16:47:59,23.844,23.844
1,16,Charles LeclercLEC,Ferrari,12,16:48:09,23.806,23.806
1,1,Max VerstappenVER,Red Bull Racing,12,16:48:10,25.913,25.913
1,63,George RussellRUS,Mercedes,12,16:48:14,23.635,23.635
1,30,Liam LawsonLAW,Racing Bulls,12,16:48:22,23.269,23.269
1,5,Gabriel BortoletoBOR,Kick Sauber,12,16:48:24,23.274,23.274
1,87,Oliver BearmanBEA,Haas,12,16:48:25,24.130,24.130
1,43,Franco ColapintoCOL,Alpine,12,16:48:34,23.665,23.665
1,55,Carlos SainzSAI,Williams,12,16:48:35,27.528,27.528
1,18,Lance StrollSTR,Aston Martin,12,16:48:37,23.787,23.787
1,12,Kimi AntonelliANT,Mercedes,12,16:48:37,23.609,23.609
1,4,Lando NorrisNOR,McLaren,13,16:49:58,24.376,24.376
1,22,Yuki TsunodaTSU,Red Bull Racing,13,16:50:22,23.330,23.330
1,6,Isack HadjarHAD,Racing Bulls,13,16:50:24,23.580,23.580
1,31,Esteban OconOCO,Haas,13,16:50:34,23.802,23.802
2,6,Isack HadjarHAD,Racing Bulls,20,17:03:41,23.376,46.956
2,55,Carlos SainzSAI,Williams,26,17:14:31,23.770,51.298
2,43,Franco ColapintoCOL,Alpine,28,17:18:07,23.449,47.114
2,14,Fernando AlonsoALO,Aston Martin,29,17:19:46,23.692,47.096
2,12,Kimi AntonelliANT,Mercedes,30,17:21:33,23.059,46.668
2,27,Nico HulkenbergHUL,Kick Sauber,32,17:25:01,23.890,47.489
