Stops,No.,Driver,Team,Lap,Time of Day,Time,Total
1,5,Gabriel BortoletoBOR,Kick Sauber,13,20:25:18,32.856,32.856
1,22,Yuki TsunodaTSU,Red Bull Racing,13,20:25:21,24.610,24.610
1,43,Franco ColapintoCOL,Alpine,14,20:26:53,24.040,24.040
1,1,Max VerstappenVER,Red Bull Racing,19,20:34:32,24.008,24.008
1,6,Isack HadjarHAD,Racing Bulls,20,20:36:38,23.827,23.827
1,16,Charles LeclercLEC,Ferrari,21,20:37:58,23.630,23.630
1,87,Oliver BearmanBEA,Haas F1 Team,23,20:41:33,23.979,23.979
1,44,Lewis HamiltonHAM,Ferrari,24,20:42:55,24.794,24.794
1,10,Pierre GaslyGAS,Alpine,24,20:43:30,25.583,25.583
1,63,George RussellRUS,Mercedes,25,20:44:06,23.966,23.966
1,12,Kimi AntonelliANT,Mercedes,25,20:44:27,23.806,23.806
1,27,Nico HulkenbergHUL,Kick Sauber,25,20:44:54,24.193,24.193
1,4,Lando NorrisNOR,McLaren,26,20:45:51,23.314,23.314
1,81,Oscar PiastriPIA,McLaren,27,20:47:33,26.637,26.637
1,14,Fernando AlonsoALO,Aston Martin,27,20:48:02,30.749,30.749
1,31,Esteban OconOCO,Haas F1 Team,30,20:53:14,25.078,25.078
1,18,Lance StrollSTR,Aston Martin,38,21:06:26,24.012,24.012
1,23,Alexander AlbonALB,Williams,42,21:13:06,25.732,25.732
2,27,Nico HulkenbergHUL,Kick Sauber,44,21:16:50,31.894,56.087
2,44,Lewis HamiltonHAM,Ferrari,46,21:18:37,23.344,48.138
1,30,Liam LawsonLAW,Racing Bulls,48,21:22:53,24.027,24.027
1,55,Carlos SainzSAI,Williams,50,21:26:10,24.075,24.075
2,10,Pierre GaslyGAS,Alpine,51,21:28:14,25.188,50.771
