STOPS,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,TOTAL
1,22,Yuki TsunodaTSU,Red Bull Racing,1,15:04:35,24.525,24.525
1,10,Pierre GaslyGAS,Alpine,1,15:04:37,24.376,24.376
1,87,Oliver BearmanBEA,Haas,1,15:04:39,50.191,50.191
1,5,Gabriel BortoletoBOR,Kick Sauber,1,15:04:58,37.243,37.243
1,27,Nico HulkenbergHUL,Kick Sauber,12,15:20:40,24.065,24.065
1,43,Franco ColapintoCOL,Alpine,13,15:22:01,24.355,24.355
1,6,Isack HadjarHAD,Racing Bulls,14,15:22:54,24.311,24.311
1,14,Fernando AlonsoALO,Aston Martin,16,15:25:28,25.375,25.375
1,31,Esteban OconOCO,Haas,16,15:25:33,25.575,25.575
1,18,Lance StrollSTR,Aston Martin,17,15:27:21,23.978,23.978
2,87,Oliver BearmanBEA,Haas,17,15:27:23,24.580,74.771
1,44,Lewis HamiltonHAM,Ferrari,18,15:28:01,23.565,23.565
1,4,Lando NorrisNOR,McLaren,19,15:29:00,24.545,24.545
2,6,Isack HadjarHAD,Racing Bulls,19,15:29:37,24.031,48.342
1,81,Oscar PiastriPIA,McLaren,20,15:30:22,25.756,25.756
1,16,Charles LeclercLEC,Ferrari,22,15:32:50,23.576,23.576
2,5,Gabriel BortoletoBOR,Kick Sauber,26,15:39:08,24.483,61.726
2,43,Franco ColapintoCOL,Alpine,26,15:39:09,24.497,48.852
1,1,Max VerstappenVER,Red Bull Racing,28,15:40:29,24.114,24.114
2,31,Esteban OconOCO,Haas,28,15:41:19,24.773,50.348
1,30,Liam LawsonLAW,Racing Bulls,31,15:45:22,24.206,24.206
1,23,Alexander AlbonALB,Williams,32,15:46:40,23.927,23.927
3,5,Gabriel BortoletoBOR,Kick Sauber,35,15:51:07,24.246,85.972
2,30,Liam LawsonLAW,Racing Bulls,40,15:57:12,24.320,48.526
2,23,Alexander AlbonALB,Williams,40,15:57:14,24.190,48.117
2,27,Nico HulkenbergHUL,Kick Sauber,44,16:02:51,24.397,48.462
2,81,Oscar PiastriPIA,McLaren,48,16:05:45,23.908,49.664
2,16,Charles LeclercLEC,Ferrari,49,16:06:52,23.678,47.254
1,55,Carlos SainzSAI,Williams,48,16:07:45,24.498,24.498
2,4,Lando NorrisNOR,McLaren,50,16:08:02,23.704,48.249
2,55,Carlos SainzSAI,Williams,53,16:14:21,24.049,48.547
2,44,Lewis HamiltonHAM,Ferrari,56,16:16:16,24.256,47.821
2,63,George RussellRUS,Mercedes,62,16:26:12,25.063,44.545
2,18,Lance StrollSTR,Aston Martin,64,16:29:13,25.916,49.894
3,63,George RussellRUS,Mercedes,68,16:33:57,24.025,68.570
1,12,Kimi AntonelliANT,Mercedes,69,16:35:35,24.457,24.457
2,12,Kimi AntonelliANT,Mercedes,71,16:38:26,24.837,49.294
2,22,Yuki TsunodaTSU,Red Bull Racing,73,16:40:41,24.086,48.611
2,1,Max VerstappenVER,Red Bull Racing,77,16:42:22,23.950,48.064
