STOPS,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,TOTAL
1,30,Liam LawsonLAW,Racing Bulls,9,15:16:28,24.156,24.156
1,87,Oliver BearmanBEA,Haas,18,15:29:07,25.372,25.372
1,22,Yuki TsunodaTSU,Red Bull Racing,19,15:30:30,24.372,24.372
1,14,Fernando AlonsoALO,Aston Martin,20,15:31:51,25.160,25.160
1,5,Gabriel BortoletoBOR,Kick Sauber,20,15:31:51,26.143,26.143
1,63,George RussellRUS,Mercedes,27,15:41:27,25.021,25.021
1,12,Kimi AntonelliANT,Mercedes,28,15:43:02,24.916,24.916
1,55,Carlos SainzSAI,Williams,30,15:45:54,24.605,24.605
1,6,Isack HadjarHAD,Racing Bulls,32,15:48:45,24.326,24.326
1,16,Charles LeclercLEC,Ferrari,33,15:49:40,24.235,24.235
1,43,Franco ColapintoCOL,Alpine,33,15:50:20,24.971,24.971
1,1,Max VerstappenVER,Red Bull Racing,37,15:54:52,24.545,24.545
1,44,Lewis HamiltonHAM,Ferrari,38,15:56:43,23.971,23.971
1,23,Alexander AlbonALB,Williams,41,16:01:01,24.717,24.717
1,81,Oscar PiastriPIA,McLaren,45,16:06:02,23.602,23.602
1,4,Lando NorrisNOR,McLaren,46,16:07:22,27.498,27.498
1,18,Lance StrollSTR,Aston Martin,49,16:12:23,38.418,38.418
1,10,Pierre GaslyGAS,Alpine,49,16:12:32,25.012,25.012
1,31,Esteban OconOCO,Haas,51,16:15:06,30.754,30.754
