STOPS,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,TOTAL
1,18,Lance StrollSTR,Aston Martin,9,14:18:18,23.724,23.724
1,7,Jack DoohanDOO,Alpine,15,14:27:46,23.382,23.382
1,63,George RussellRUS,Mercedes,19,14:33:35,23.184,23.184
1,81,Oscar PiastriPIA,McLaren,20,14:35:03,23.037,23.037
1,1,Max VerstappenVER,Red Bull Racing,21,14:36:32,24.397,24.397
1,4,Lando NorrisNOR,McLaren,21,14:36:33,23.222,23.222
1,16,Charles LeclercLEC,Ferrari,21,14:36:40,23.346,23.346
1,27,Nico HulkenbergHUL,Kick Sauber,22,14:38:44,23.515,23.515
1,87,Oliver BearmanBEA,Haas,23,14:40:07,24.834,24.834
1,22,Yuki TsunodaTSU,Red Bull Racing,23,14:40:13,24.181,24.181
1,23,Alexander AlbonALB,Williams,24,14:41:36,23.093,23.093
1,14,Fernando AlonsoALO,Aston Martin,24,14:41:45,25.708,25.708
1,10,Pierre GaslyGAS,Alpine,24,14:41:48,26.041,26.041
1,6,Isack HadjarHAD,Racing Bulls,25,14:43:05,23.333,23.333
1,44,Lewis HamiltonHAM,Ferrari,30,14:50:48,22.937,22.937
2,18,Lance StrollSTR,Aston Martin,30,14:51:42,23.608,47.332
1,12,Kimi AntonelliANT,Mercedes,31,14:52:16,24.380,24.380
1,5,Gabriel BortoletoBOR,Kick Sauber,31,14:52:58,23.419,23.419
1,31,Esteban OconOCO,Haas,32,14:54:29,24.464,24.464
1,30,Liam LawsonLAW,Racing Bulls,33,14:56:01,23.662,23.662
1,55,Carlos SainzSAI,Williams,33,14:56:03,23.337,23.337
