STOPS,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,TOTAL
1,27,Nico HulkenbergHUL,Kick Sauber,5,15:10:20,21.594,21.594
1,43,Franco ColapintoCOL,Alpine,13,15:21:30,30.248,30.248
1,31,Esteban OconOCO,Haas,14,15:22:52,22.444,22.444
1,23,Alexander AlbonALB,Williams,14,15:22:52,21.345,21.345
1,55,Carlos SainzSAI,Williams,15,15:24:13,21.670,21.670
1,1,Max VerstappenVER,Red Bull Racing,17,15:26:53,21.433,21.433
1,81,Oscar PiastriPIA,McLaren,18,15:27:53,21.145,21.145
1,16,Charles LeclercLEC,Ferrari,19,15:29:12,21.130,21.130
1,63,George RussellRUS,Mercedes,19,15:29:19,21.703,21.703
1,22,Yuki TsunodaTSU,Red Bull Racing,20,15:31:19,21.295,21.295
1,12,Kimi AntonelliANT,Mercedes,21,15:32:35,22.328,22.328
1,87,Oliver BearmanBEA,Haas,30,15:45:09,21.754,21.754
1,4,Lando NorrisNOR,McLaren,31,15:45:46,20.940,20.940
1,10,Pierre GaslyGAS,Alpine,32,15:48:01,21.699,21.699
1,6,Isack HadjarHAD,Racing Bulls,33,15:49:21,21.096,21.096
2,43,Franco ColapintoCOL,Alpine,35,15:52:16,26.280,56.528
1,18,Lance StrollSTR,Aston Martin,36,15:53:16,21.464,21.464
2,22,Yuki TsunodaTSU,Red Bull Racing,37,15:55:04,21.541,42.836
2,23,Alexander AlbonALB,Williams,38,15:56:23,22.726,44.071
1,14,Fernando AlonsoALO,Aston Martin,39,15:57:13,22.204,22.204
2,16,Charles LeclercLEC,Ferrari,40,15:58:00,21.136,42.266
1,5,Gabriel BortoletoBOR,Kick Sauber,40,15:58:41,21.773,21.773
1,30,Liam LawsonLAW,Racing Bulls,40,15:58:47,22.136,22.136
2,27,Nico HulkenbergHUL,Kick Sauber,41,16:00:27,28.777,50.371
1,44,Lewis HamiltonHAM,Ferrari,42,16:01:45,21.150,21.150
2,63,George RussellRUS,Mercedes,43,16:02:16,21.450,43.153
2,81,Oscar PiastriPIA,McLaren,45,16:04:49,20.940,42.085
2,1,Max VerstappenVER,Red Bull Racing,48,16:09:43,21.258,42.691
2,55,Carlos SainzSAI,Williams,51,16:14:18,21.423,43.093
