STOPS,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,TOTAL
1,6,Isack HadjarHAD,Racing Bulls,2,15:21:36,21.297,21.297
1,87,Oliver BearmanBEA,Haas,11,15:32:52,21.910,21.910
1,10,Pierre GaslyGAS,Alpine,12,15:34:03,21.959,21.959
1,27,Nico HulkenbergHUL,Kick Sauber,12,15:34:08,21.236,21.236
1,23,Alexander AlbonALB,Williams,13,15:35:11,21.210,21.210
1,43,Franco ColapintoCOL,Alpine,13,15:35:19,23.038,23.038
1,63,George RussellRUS,Mercedes,18,15:41:08,21.344,21.344
1,22,Yuki TsunodaTSU,Red Bull Racing,18,15:41:20,21.492,21.492
1,31,Esteban OconOCO,Haas,19,15:42:29,23.188,23.188
1,4,Lando NorrisNOR,McLaren,20,15:43:12,22.131,22.131
1,5,Gabriel BortoletoBOR,Kick Sauber,21,15:44:46,21.676,21.676
1,81,Oscar PiastriPIA,McLaren,24,15:47:58,22.599,22.599
1,16,Charles LeclercLEC,Ferrari,25,15:49:16,21.308,21.308
1,44,Lewis HamiltonHAM,Ferrari,26,15:50:30,21.287,21.287
1,18,Lance StrollSTR,Aston Martin,26,15:51:04,22.907,22.907
2,6,Isack HadjarHAD,Racing Bulls,28,15:53:23,21.680,42.977
2,22,Yuki TsunodaTSU,Red Bull Racing,30,15:55:58,30.000,51.492
1,30,Liam LawsonLAW,Racing Bulls,32,15:57:59,21.434,21.434
1,14,Fernando AlonsoALO,Aston Martin,33,15:59:13,21.865,21.865
2,10,Pierre GaslyGAS,Alpine,38,16:05:25,22.105,44.064
2,87,Oliver BearmanBEA,Haas,39,16:06:33,21.771,43.681
2,43,Franco ColapintoCOL,Alpine,39,16:06:47,21.087,44.125
2,27,Nico HulkenbergHUL,Kick Sauber,42,16:09:58,21.045,42.281
2,63,George RussellRUS,Mercedes,45,16:13:22,21.854,43.198
2,16,Charles LeclercLEC,Ferrari,49,16:17:34,21.536,42.844
2,5,Gabriel BortoletoBOR,Kick Sauber,49,16:18:10,21.286,42.962
2,44,Lewis HamiltonHAM,Ferrari,50,16:18:54,21.158,42.445
2,31,Esteban OconOCO,Haas,50,16:19:27,22.284,45.472
2,4,Lando NorrisNOR,McLaren,52,16:20:48,21.427,43.558
2,81,Oscar PiastriPIA,McLaren,53,16:22:01,21.033,43.632
2,18,Lance StrollSTR,Aston Martin,53,16:23:25,21.763,44.670
3,22,Yuki TsunodaTSU,Red Bull Racing,60,16:31:51,32.643,84.135
