Pos,No,Driver,Car,Laps,Time/retired,Pts
1,8,Niki LaudaLAU,McLaren Ford,75,1:58:25.318,9
2,6,Keke RosbergROS,Williams Ford,75,+14.660s,6
DQ,27,Gilles VilleneuveVIL,Ferrari,75,DSQ,0
3,2,Riccardo PatresePAT,Brabham Ford,75,+79.140s,4
4,3,Michele AlboretoALB,Tyrrell Ford,75,+80.950s,3
5,11,Elio de AngelisDEA,Lotus Ford,74,+1 lap,2
6,7,John WatsonWAT,McLaren Ford,74,+1 lap,1
7,12,Nigel MansellMAN,Lotus Ford,73,+2 laps,0
8,17,Jochen MassMAS,March Ford,73,+2 laps,0
9,18,Raul BoeselBOE,March Ford,70,+5 laps,0
10,4,Slim BorguddBOR,Tyrrell Ford,68,+7 laps,0
NC,25,Eddie  CheeverCHE,Ligier Matra,59,DNF,0
NC,22,Andrea de CesarisDEC,Alfa Romeo,33,DNF,0
NC,29,Brian HentonHEN,Arrows Ford,32,DNF,0
NC,14,Roberto GuerreroGUE,Ensign Ford,27,DNF,0
NC,26,Jacques LaffiteLAF,Ligier Matra,26,DNF,0
NC,31,Jean-Pierre JarierJAR,Osella Ford,26,DNF,0
NC,1,Nelson PiquetPIQ,Brabham Ford,25,DNF,0
NC,33,Derek DalyDAL,Theodore Ford,23,DNF,0
NC,5,Mario AndrettiAND,Williams Ford,19,DNF,0
NC,15,Alain ProstPRO,Renault,10,DNF,0
NC,28,Didier PironiPIR,Ferrari,6,DNF,0
NC,16,Rene ArnouxARN,Renault,5,DNF,0
NC,23,Bruno GiacomelliGIA,Alfa Romeo,5,DNF,0
NC,10,Eliseo SalazarSAL,ATS Ford,3,DNF,0
NC,9,Manfred WinkelhockWIN,ATS Ford,1,DNF,0
