Pos,No,Driver,Car,Time,Gap,Laps
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:48.340,,27
2,3,Jenson ButtonBUT,McLaren Mercedes,1:48.651,+0.311s,24
3,5,Fernando AlonsoALO,Ferrari,1:48.896,+0.556s,26
4,2,Mark WebberWEB,Red Bull Racing Renault,1:48.964,+0.624s,26
5,4,Lewis HamiltonHAM,McLaren Mercedes,1:49.086,+0.746s,28
6,11,Paul di RestaDIR,Force India Mercedes,1:49.300,+0.960s,30
7,12,Nico HulkenbergHUL,Force India Mercedes,1:49.339,+0.999s,32
8,8,Nico RosbergROS,Mercedes,1:49.790,+1.450s,32
9,6,Felipe MassaMAS,Ferrari,1:50.039,+1.699s,28
10,10,Romain GrosjeanGRO,Lotus Renault,1:50.161,+1.821s,24
11,7,Michael SchumacherMSC,Mercedes,1:50.263,+1.923s,23
12,9,Kimi RäikkönenRAI,Lotus Renault,1:50.345,+2.005s,24
13,18,Pastor MaldonadoMAL,Williams Renault,1:50.636,+2.296s,32
14,16,Daniel RicciardoRIC,STR Ferrari,1:50.791,+2.451s,26
15,15,Sergio PerezPER,Sauber Ferrari,1:51.122,+2.782s,28
16,14,Kamui KobayashiKOB,Sauber Ferrari,1:51.450,+3.110s,21
17,19,Bruno SennaSEN,Williams Renault,1:51.452,+3.112s,11
18,17,Jean-Eric VergneVER,STR Ferrari,1:52.009,+3.669s,31
19,24,Timo GlockGLO,Marussia Cosworth,1:52.218,+3.878s,29
20,20,Heikki KovalainenKOV,Caterham Renault,1:52.576,+4.236s,27
21,25,Charles PicPIC,Marussia Cosworth,1:52.863,+4.523s,27
22,21,Vitaly PetrovPET,Caterham Renault,1:52.936,+4.596s,26
23,22,Pedro de la RosaDLR,HRT Cosworth,1:54.448,+6.108s,26
24,23,Narain KarthikeyanKAR,HRT Cosworth,1:54.514,+6.174s,30
