Pos,No,Driver,Car,Time,Gap,Laps
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:37.718,,17
2,2,Mark WebberWEB,Red Bull Racing Renault,1:38.475,+0.757s,36
3,5,Fernando AlonsoALO,Ferrari,1:38.483,+0.765s,35
4,4,Lewis HamiltonHAM,McLaren Mercedes,1:38.748,+1.030s,31
5,3,Jenson ButtonBUT,McLaren Mercedes,1:38.786,+1.068s,32
6,6,Felipe MassaMAS,Ferrari,1:39.029,+1.311s,33
7,8,Nico RosbergROS,Mercedes,1:39.448,+1.730s,32
8,19,Bruno SennaSEN,Williams Renault,1:39.531,+1.813s,38
9,14,Kamui KobayashiKOB,Sauber Ferrari,1:39.653,+1.935s,36
10,7,Michael SchumacherMSC,Mercedes,1:40.115,+2.397s,30
11,9,Kimi RäikkönenRAI,Lotus Renault,1:40.166,+2.448s,32
12,18,Pastor MaldonadoMAL,Williams Renault,1:40.230,+2.512s,35
13,10,Romain GrosjeanGRO,Lotus Renault,1:40.286,+2.568s,32
14,15,Sergio PerezPER,Sauber Ferrari,1:40.326,+2.608s,35
15,16,Daniel RicciardoRIC,STR Ferrari,1:40.435,+2.717s,30
16,17,Jean-Eric VergneVER,STR Ferrari,1:40.516,+2.798s,32
17,12,Nico HulkenbergHUL,Force India Mercedes,1:40.700,+2.982s,34
18,11,Paul di RestaDIR,Force India Mercedes,1:41.430,+3.712s,35
19,20,Heikki KovalainenKOV,Caterham Renault,1:42.476,+4.758s,38
20,24,Timo GlockGLO,Marussia Cosworth,1:42.652,+4.934s,33
21,21,Vitaly PetrovPET,Caterham Renault,1:42.846,+5.128s,38
22,25,Charles PicPIC,Marussia Cosworth,1:43.538,+5.820s,38
23,22,Pedro de la RosaDLR,HRT Cosworth,1:44.453,+6.735s,16
24,23,Narain KarthikeyanKAR,HRT Cosworth,1:45.114,+7.396s,20
