Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,6,Kimi RäikkönenRAI,Ferrari,1:26.644,1:25.644,1:26.072,17
2,1,Fernando AlonsoALO,McLaren Mercedes,1:26.697,1:25.326,1:26.493,19
3,9,Nick HeidfeldHEI,Sauber BMW,1:26.895,1:25.358,1:26.556,21
4,2,Lewis HamiltonHAM,McLaren Mercedes,1:26.674,1:25.577,1:26.755,16
5,10,Robert KubicaKUB,Sauber BMW,1:26.696,1:25.882,1:27.347,19
6,3,Giancarlo FisichellaFIS,Renault,1:27.270,1:25.944,1:27.634,21
7,15,Mark WebberWEB,Red Bull Renault,1:26.978,1:26.623,1:27.934,23
8,12,Jarno TrulliTRU,Toyota,1:27.014,1:26.688,1:28.404,23
9,11,Ralf SchumacherRSC,Toyota,1:27.328,1:26.739,1:28.692,22
10,22,Takuma SatoSAT,Super Aguri Honda,1:27.365,1:26.758,1:28.871,23
11,23,Anthony DavidsonDAV,Super Aguri Honda,1:26.986,1:26.909,,12
12,16,Nico RosbergROS,Williams Toyota,1:27.596,1:26.914,,13
13,4,Heikki KovalainenKOV,Renault,1:27.529,1:26.964,,10
14,7,Jenson ButtonBUT,Honda,1:27.540,1:27.264,,14
15,17,Alexander WurzWUR,Williams Toyota,1:27.479,1:27.393,,13
16,5,Felipe MassaMAS,Ferrari,1:26.712,DNF,,6
17,8,Rubens BarrichelloBAR,Honda,1:27.679,,,9
18,19,Scott SpeedSPE,STR Ferrari,1:28.305,,,7
19,14,David CoulthardCOU,Red Bull Renault,1:28.579,,,6
20,18,Vitantonio LiuzziLIU,STR Ferrari,1:29.267,,,6
21,20,Adrian SutilSUT,Spyker Ferrari,1:29.339,,,6
22,21,Christijan AlbersALB,Spyker Ferrari,1:31.932,,,7
