Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,5,Felipe MassaMAS,Ferrari,1:27.488,1:27.039,1:27.329,18
2,2,Lewis HamiltonHAM,McLaren Mercedes,1:27.513,1:26.936,1:27.373,17
3,6,Kimi RäikkönenRAI,Ferrari,1:27.294,1:26.902,1:27.546,18
4,1,Fernando AlonsoALO,McLaren Mercedes,1:27.328,1:26.841,1:27.574,17
5,10,Robert KubicaKUB,Sauber BMW,1:27.997,1:27.253,1:27.722,17
6,9,Nick HeidfeldHEI,Sauber BMW,1:28.099,1:27.253,1:28.037,17
7,4,Heikki KovalainenKOV,Renault,1:28.127,1:27.784,1:28.491,24
8,16,Nico RosbergROS,Williams Toyota,1:28.275,1:27.750,1:28.501,20
9,12,Jarno TrulliTRU,Toyota,1:28.318,1:27.801,1:28.740,24
10,3,Giancarlo FisichellaFIS,Renault,1:28.313,1:27.880,1:29.322,24
11,23,Anthony DavidsonDAV,Super Aguri Honda,1:28.304,1:28.002,,12
12,15,Mark WebberWEB,Red Bull Renault,1:28.500,1:28.013,,12
13,14,David CoulthardCOU,Red Bull Renault,1:28.395,1:28.100,,12
14,8,Rubens BarrichelloBAR,Honda,1:28.792,1:28.188,,12
15,7,Jenson ButtonBUT,Honda,1:28.373,1:28.220,,12
16,17,Alexander WurzWUR,Williams Toyota,1:28.360,1:28.390,,14
17,18,Vitantonio LiuzziLIU,STR Ferrari,1:28.798,,,9
18,11,Ralf SchumacherRSC,Toyota,1:28.809,,,7
19,22,Takuma SatoSAT,Super Aguri Honda,1:28.953,,,8
20,19,Sebastian VettelVET,STR Ferrari,1:29.408,,,6
21,20,Adrian SutilSUT,Spyker Ferrari,1:29.861,,,9
22,21,Sakon YamamotoYAM,Spyker Ferrari,1:31.479,,,7
