Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,5,Felipe MassaMAS,Ferrari,1:15.303,1:14.822,1:15.034,18
2,2,Lewis HamiltonHAM,McLaren Mercedes,1:14.805,1:14.795,1:15.104,18
3,6,Kimi RäikkönenRAI,Ferrari,1:14.872,1:14.828,1:15.257,19
4,10,Robert KubicaKUB,Sauber BMW,1:15.778,1:15.066,1:15.493,22
5,3,Giancarlo FisichellaFIS,Renault,1:16.047,1:15.227,1:15.674,25
6,4,Heikki KovalainenKOV,Renault,1:15.524,1:15.272,1:15.826,25
7,9,Nick HeidfeldHEI,Sauber BMW,1:15.783,1:15.149,1:15.900,23
8,12,Jarno TrulliTRU,Toyota,1:16.118,1:15.379,1:15.935,23
9,16,Nico RosbergROS,Williams Toyota,1:16.092,1:15.331,1:16.328,25
10,1,Fernando AlonsoALO,McLaren Mercedes,1:15.322,1:15.084,DNS,7
11,11,Ralf SchumacherRSC,Toyota,1:15.760,1:15.534,,12
12,7,Jenson ButtonBUT,Honda,1:16.113,1:15.584,,12
13,8,Rubens BarrichelloBAR,Honda,1:16.140,1:15.761,,12
14,15,Mark WebberWEB,Red Bull Renault,1:15.746,1:15.806,,11
15,19,Scott SpeedSPE,STR Ferrari,1:15.980,1:16.049,,12
16,14,David CoulthardCOU,Red Bull Renault,1:15.915,DNF,,9
17,18,Vitantonio LiuzziLIU,STR Ferrari,1:16.142,,,6
18,17,Alexander WurzWUR,Williams Toyota,1:16.241,,,7
19,22,Takuma SatoSAT,Super Aguri Honda,1:16.244,,,6
20,23,Anthony DavidsonDAV,Super Aguri Honda,1:16.366,,,5
21,21,Christijan AlbersALB,Spyker Ferrari,1:17.826,,,6
22,20,Adrian SutilSUT,Spyker Ferrari,1:17.915,,,5
