Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Fernando AlonsoALO,McLaren Mercedes,1:20.425,1:19.661,1:19.674,17
2,2,Lewis HamiltonHAM,McLaren Mercedes,1:19.570,1:19.301,1:19.781,17
3,9,Nick HeidfeldHEI,Sauber BMW,1:20.751,1:20.322,1:20.259,22
4,6,Kimi RäikkönenRAI,Ferrari,1:20.435,1:20.107,1:20.410,19
5,16,Nico RosbergROS,Williams Toyota,1:20.547,1:20.188,1:20.632,22
6,11,Ralf SchumacherRSC,Toyota,1:20.449,1:20.455,1:20.714,24
7,10,Robert KubicaKUB,Sauber BMW,1:20.366,1:20.703,1:20.876,23
8,3,Giancarlo FisichellaFIS,Renault,1:21.645,1:20.590,1:21.079,25
9,12,Jarno TrulliTRU,Toyota,1:20.481,1:19.951,1:21.206,20
10,15,Mark WebberWEB,Red Bull Renault,1:20.794,1:20.439,1:21.256,22
11,14,David CoulthardCOU,Red Bull Renault,1:21.291,1:20.718,,12
12,4,Heikki KovalainenKOV,Renault,1:20.285,1:20.779,,12
13,17,Alexander WurzWUR,Williams Toyota,1:21.243,1:20.865,,18
14,5,Felipe MassaMAS,Ferrari,1:20.408,1:21.021,,9
15,23,Anthony DavidsonDAV,Super Aguri Honda,1:21.018,1:21.127,,12
16,18,Vitantonio LiuzziLIU,STR Ferrari,1:21.730,1:21.993,,16
17,7,Jenson ButtonBUT,Honda,1:21.737,,,6
18,8,Rubens BarrichelloBAR,Honda,1:21.877,,,6
19,22,Takuma SatoSAT,Super Aguri Honda,1:22.143,,,6
20,19,Sebastian VettelVET,STR Ferrari,1:22.177,,,7
21,20,Adrian SutilSUT,Spyker Ferrari,1:22.737,,,9
22,21,Sakon YamamotoYAM,Spyker Ferrari,1:23.774,,,7
