Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,5,Felipe MassaMAS,Ferrari,1:35.340,1:34.454,1:35.043,16
2,1,Fernando AlonsoALO,McLaren Mercedes,1:34.942,1:34.057,1:35.310,16
3,6,Kimi RäikkönenRAI,Ferrari,1:35.138,1:34.687,1:35.479,16
4,2,Lewis HamiltonHAM,McLaren Mercedes,1:35.028,1:34.650,1:36.045,16
5,9,Nick HeidfeldHEI,Sauber BMW,1:35.617,1:35.203,1:36.543,19
6,16,Nico RosbergROS,Williams Toyota,1:35.755,1:35.380,1:36.829,22
7,10,Robert KubicaKUB,Sauber BMW,1:35.294,1:34.739,1:36.896,14
8,12,Jarno TrulliTRU,Toyota,1:35.666,1:35.255,1:36.902,23
9,11,Ralf SchumacherRSC,Toyota,1:35.736,1:35.595,1:37.078,22
10,15,Mark WebberWEB,Red Bull Renault,1:35.727,1:35.579,1:37.345,21
11,4,Heikki KovalainenKOV,Renault,1:36.092,1:35.630,,12
12,3,Giancarlo FisichellaFIS,Renault,1:35.879,1:35.706,,12
13,14,David CoulthardCOU,Red Bull Renault,1:35.730,1:35.766,,12
14,22,Takuma SatoSAT,Super Aguri Honda,1:36.430,1:35.945,,12
15,7,Jenson ButtonBUT,Honda,1:35.913,1:36.088,,15
16,18,Vitantonio LiuzziLIU,STR Ferrari,1:36.140,1:36.145,,12
17,19,Scott SpeedSPE,STR Ferrari,1:36.578,,,6
18,23,Anthony DavidsonDAV,Super Aguri Honda,1:36.816,,,6
19,8,Rubens BarrichelloBAR,Honda,1:36.827,,,7
20,17,Alexander WurzWUR,Williams Toyota,1:37.326,,,5
21,21,Christijan AlbersALB,Spyker Ferrari,1:38.279,,,6
22,20,Adrian SutilSUT,Spyker Ferrari,1:38.415,,,6
