Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,44,Lewis HamiltonHAM,Mercedes,51,15:43:51,1:35.761,219.847
2,16,Charles LeclercLEC,Ferrari,52,15:45:34,1:36.193,218.860
3,77,Valtteri BottasBOT,Mercedes,50,15:42:19,1:36.316,218.580
4,23,Alexander AlbonALB,Red Bull Racing Honda,50,15:42:51,1:36.762,217.573
5,33,Max VerstappenVER,Red Bull Racing Honda,47,15:37:36,1:36.937,217.180
6,55,Carlos SainzSAI,McLaren Renault,53,15:47:52,1:38.020,214.780
7,11,Sergio PerezPER,Racing Point BWT Mercedes,49,15:41:22,1:38.043,214.730
8,20,Kevin MagnussenMAG,Haas Ferrari,53,15:48:00,1:38.130,214.539
9,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,52,15:46:30,1:38.228,214.325
10,5,Sebastian VettelVET,Ferrari,16,14:42:24,1:38.245,214.288
11,4,Lando NorrisNOR,McLaren Renault,52,15:46:26,1:38.301,214.166
12,27,Nico HulkenbergHUL,Renault,53,15:48:06,1:38.519,213.692
13,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,51,15:44:57,1:38.589,213.541
14,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,51,15:44:58,1:38.606,213.504
15,18,Lance StrollSTR,Racing Point BWT Mercedes,53,15:48:07,1:38.611,213.493
16,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,51,15:45:02,1:38.696,213.309
17,3,Daniel RicciardoRIC,Renault,22,14:53:39,1:41.284,207.859
18,63,George RussellRUS,Williams Mercedes,18,14:46:49,1:41.705,206.998
19,88,Robert KubicaKUB,Williams Mercedes,24,14:57:29,1:42.327,205.740
