Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,44,Lewis HamiltonHAM,Mercedes,53,18:44:12,1:39.283,201.387
2,77,Valtteri BottasBOT,Mercedes,31,18:07:45,1:39.715,200.515
3,5,Sebastian VettelVET,Ferrari,55,18:48:41,1:40.128,199.688
4,16,Charles LeclercLEC,Ferrari,44,18:29:40,1:40.442,199.064
5,33,Max VerstappenVER,Red Bull Racing Honda,55,18:47:53,1:41.119,197.731
6,3,Daniel RicciardoRIC,Renault,51,18:43:00,1:41.190,197.592
7,55,Carlos SainzSAI,McLaren Renault,43,18:29:19,1:41.294,197.389
8,23,Alexander AlbonALB,Red Bull Racing Honda,49,18:38:27,1:42.219,195.603
9,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,42,18:27:25,1:42.222,195.597
10,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,53,18:47:48,1:42.414,195.231
11,11,Sergio PerezPER,Racing Point BWT Mercedes,39,18:22:10,1:42.639,194.803
12,4,Lando NorrisNOR,McLaren Renault,50,18:41:04,1:43.026,194.071
13,63,George RussellRUS,Williams Mercedes,50,18:42:21,1:43.074,193.981
14,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,25,17:58:04,1:43.142,193.853
15,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,28,18:03:50,1:43.256,193.639
16,27,Nico HulkenbergHUL,Renault,52,18:44:39,1:43.274,193.605
17,18,Lance StrollSTR,Racing Point BWT Mercedes,25,17:58:37,1:43.326,193.507
18,8,Romain GrosjeanGRO,Haas Ferrari,33,18:12:13,1:43.666,192.873
19,20,Kevin MagnussenMAG,Haas Ferrari,22,17:52:47,1:43.790,192.642
20,88,Robert KubicaKUB,Williams Mercedes,51,18:44:29,1:44.500,191.333
