Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,33,Max VerstappenVER,Red Bull Racing Honda,61,17:00:38,1:16.645,214.839
2,5,Sebastian VettelVET,Ferrari,63,17:03:17,1:16.794,214.423
3,44,Lewis HamiltonHAM,Mercedes,60,16:59:36,1:17.485,212.510
4,10,Pierre GaslyGAS,Red Bull Racing Honda,56,16:52:27,1:17.495,212.483
5,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,62,17:02:07,1:17.507,212.450
6,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,61,17:00:41,1:17.708,211.900
7,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,55,16:51:12,1:17.746,211.797
8,18,Lance StrollSTR,Racing Point BWT Mercedes,61,17:00:42,1:17.831,211.566
9,55,Carlos SainzSAI,McLaren Renault,63,17:03:20,1:17.841,211.538
10,23,Alexander AlbonALB,Scuderia Toro Rosso Honda,63,17:03:21,1:17.850,211.514
11,77,Valtteri BottasBOT,Mercedes,54,16:49:40,1:18.272,210.374
12,8,Romain GrosjeanGRO,Haas Ferrari,64,17:04:46,1:18.811,208.935
13,20,Kevin MagnussenMAG,Haas Ferrari,63,17:03:29,1:19.062,208.271
14,63,George RussellRUS,Williams Mercedes,60,16:59:35,1:19.300,207.646
15,88,Robert KubicaKUB,Williams Mercedes,60,16:59:34,1:19.563,206.960
16,16,Charles LeclercLEC,Ferrari,17,15:47:59,1:27.697,187.764
17,27,Nico HulkenbergHUL,Renault,18,15:49:43,1:29.576,183.826
18,4,Lando NorrisNOR,McLaren Renault,16,15:47:14,1:31.081,180.788
19,3,Daniel RicciardoRIC,Renault,10,15:37:32,1:32.654,177.719
