Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,44,Lewis HamiltonHAM,Mercedes,54,16:32:57,1:18.492,213.499
2,77,Valtteri BottasBOT,Mercedes,55,16:34:21,1:18.737,212.835
3,33,Max VerstappenVER,Red Bull Racing Honda,57,16:37:03,1:19.769,210.081
4,5,Sebastian VettelVET,Ferrari,64,16:46:26,1:19.820,209.947
5,16,Charles LeclercLEC,Ferrari,57,16:37:07,1:20.002,209.469
6,10,Pierre GaslyGAS,Red Bull Racing Honda,57,16:37:10,1:20.536,208.080
7,3,Daniel RicciardoRIC,Renault,56,16:35:56,1:20.615,207.876
8,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,64,16:46:47,1:20.726,207.591
9,20,Kevin MagnussenMAG,Haas Ferrari,66,16:49:25,1:20.770,207.478
10,55,Carlos SainzSAI,McLaren Renault,59,16:40:00,1:20.859,207.249
11,23,Alexander AlbonALB,Scuderia Toro Rosso Honda,65,16:48:11,1:21.028,206.817
12,8,Romain GrosjeanGRO,Haas Ferrari,64,16:46:49,1:21.057,206.743
13,27,Nico HulkenbergHUL,Renault,65,16:48:15,1:21.282,206.171
14,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,66,16:49:39,1:21.382,205.917
15,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,64,16:47:00,1:21.833,204.782
16,11,Sergio PerezPER,Racing Point BWT Mercedes,65,16:48:21,1:21.859,204.717
17,63,George RussellRUS,Williams Mercedes,64,16:48:34,1:22.382,203.418
18,4,Lando NorrisNOR,McLaren Renault,28,15:53:14,1:22.561,202.977
19,88,Robert KubicaKUB,Williams Mercedes,65,16:50:04,1:23.202,201.413
20,18,Lance StrollSTR,Racing Point BWT Mercedes,28,15:53:10,1:23.226,201.355
