Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,77,Valtteri BottasBOT,Mercedes,57,17:37:32,1:25.580,223.075
2,44,Lewis HamiltonHAM,Mercedes,57,17:37:54,1:26.057,221.839
3,33,Max VerstappenVER,Red Bull Racing Honda,57,17:37:55,1:26.256,221.327
4,16,Charles LeclercLEC,Ferrari,58,17:39:58,1:26.926,219.621
5,10,Pierre GaslyGAS,Red Bull Racing Honda,39,17:12:34,1:27.229,218.858
6,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,39,17:12:34,1:27.448,218.310
7,18,Lance StrollSTR,Racing Point BWT Mercedes,29,16:57:43,1:27.568,218.011
8,5,Sebastian VettelVET,Ferrari,16,16:37:49,1:27.954,217.054
9,20,Kevin MagnussenMAG,Haas Ferrari,56,17:37:30,1:28.182,216.493
10,23,Alexander AlbonALB,Scuderia Toro Rosso Honda,43,17:18:50,1:28.188,216.478
11,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,52,17:31:40,1:28.270,216.277
12,27,Nico HulkenbergHUL,Renault,52,17:31:39,1:28.444,215.851
13,8,Romain GrosjeanGRO,Haas Ferrari,17,16:39:50,1:28.462,215.807
14,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,29,16:58:26,1:28.479,215.766
15,11,Sergio PerezPER,Racing Point BWT Mercedes,41,17:15:47,1:28.485,215.751
16,4,Lando NorrisNOR,McLaren Renault,17,16:39:48,1:28.555,215.581
17,63,George RussellRUS,Williams Mercedes,55,17:38:18,1:28.713,215.197
18,88,Robert KubicaKUB,Williams Mercedes,30,17:01:36,1:29.284,213.821
19,3,Daniel RicciardoRIC,Renault,18,16:41:46,1:29.848,212.478
20,55,Carlos SainzSAI,McLaren Renault,9,16:27:27,1:30.899,210.022
