Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,10,Pierre GaslyGAS,Red Bull Racing Honda,72,16:48:49,1:14.279,161.730
2,77,Valtteri BottasBOT,Mercedes,65,16:39:30,1:15.163,159.828
3,23,Alexander AlbonALB,Scuderia Toro Rosso Honda,43,16:11:30,1:15.607,158.890
4,3,Daniel RicciardoRIC,Renault,78,16:57:15,1:15.697,158.701
5,55,Carlos SainzSAI,McLaren Renault,32,15:57:14,1:15.891,158.295
6,44,Lewis HamiltonHAM,Mercedes,9,15:24:20,1:16.167,157.721
7,33,Max VerstappenVER,Red Bull Racing Honda,9,15:24:23,1:16.229,157.593
8,27,Nico HulkenbergHUL,Renault,65,16:40:54,1:16.276,157.496
9,5,Sebastian VettelVET,Ferrari,9,15:24:25,1:16.277,157.494
10,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,31,15:55:39,1:16.288,157.471
11,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,46,16:16:41,1:16.299,157.448
12,18,Lance StrollSTR,Racing Point BWT Mercedes,45,16:14:52,1:16.379,157.284
13,4,Lando NorrisNOR,McLaren Renault,61,16:35:28,1:16.413,157.214
14,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,50,16:21:43,1:16.436,157.166
15,11,Sergio PerezPER,Racing Point BWT Mercedes,67,16:43:25,1:16.613,156.803
16,8,Romain GrosjeanGRO,Haas Ferrari,41,16:08:40,1:16.746,156.531
17,20,Kevin MagnussenMAG,Haas Ferrari,61,16:35:32,1:16.992,156.031
18,63,George RussellRUS,Williams Mercedes,76,16:55:23,1:17.038,155.938
19,88,Robert KubicaKUB,Williams Mercedes,32,15:57:59,1:17.388,155.233
20,16,Charles LeclercLEC,Ferrari,6,15:20:57,1:19.151,151.775
