Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,5,Sebastian VettelVET,Ferrari,53,16:38:59,1:32.740,226.775
2,44,Lewis HamiltonHAM,Mercedes,53,16:37:56,1:32.764,226.717
3,77,Valtteri BottasBOT,Mercedes,43,16:22:14,1:33.586,224.725
4,16,Charles LeclercLEC,Ferrari,40,16:17:39,1:33.828,224.146
5,33,Max VerstappenVER,Red Bull Racing Honda,38,16:14:37,1:34.162,223.351
6,55,Carlos SainzSAI,McLaren Renault,52,16:37:55,1:34.561,222.408
7,27,Nico HulkenbergHUL,Renault,45,16:26:47,1:34.754,221.955
8,3,Daniel RicciardoRIC,Renault,47,16:29:52,1:34.873,221.677
9,18,Lance StrollSTR,Racing Point BWT Mercedes,44,16:25:21,1:34.924,221.558
10,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,46,16:28:21,1:34.950,221.497
11,11,Sergio PerezPER,Racing Point BWT Mercedes,42,16:22:06,1:35.014,221.348
12,23,Alexander AlbonALB,Scuderia Toro Rosso Honda,51,16:36:59,1:35.029,221.313
13,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,50,16:35:41,1:35.115,221.113
14,10,Pierre GaslyGAS,Red Bull Racing Honda,42,16:22:04,1:35.150,221.032
15,4,Lando NorrisNOR,McLaren Renault,47,16:29:50,1:35.197,220.922
16,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,43,16:23:59,1:35.225,220.857
17,8,Romain GrosjeanGRO,Haas Ferrari,42,16:22:35,1:35.691,219.782
18,20,Kevin MagnussenMAG,Haas Ferrari,50,16:35:40,1:35.692,219.780
19,63,George RussellRUS,Williams Mercedes,51,16:38:38,1:35.830,219.463
20,88,Robert KubicaKUB,Williams Mercedes,50,16:36:52,1:36.608,217.696
