Pos,No,Driver,Car,Time,Gap,Laps
1,6,Kimi RäikkönenRAI,Ferrari,1:37.024,,24
2,1,Fernando AlonsoALO,McLaren Mercedes,1:37.108,+0.084s,18
3,5,Felipe MassaMAS,Ferrari,1:37.128,+0.104s,21
4,2,Lewis HamiltonHAM,McLaren Mercedes,1:37.210,+0.186s,20
5,16,Nico RosbergROS,Williams Toyota,1:37.707,+0.683s,23
6,10,Robert KubicaKUB,Sauber BMW,1:38.055,+1.031s,23
7,12,Jarno TrulliTRU,Toyota,1:38.208,+1.184s,30
8,3,Giancarlo FisichellaFIS,Renault,1:38.217,+1.193s,16
9,38,Kazuki NakajimaNAK,Williams Toyota,1:38.270,+1.246s,30
10,9,Nick HeidfeldHEI,Sauber BMW,1:38.445,+1.421s,13
11,4,Heikki KovalainenKOV,Renault,1:38.551,+1.527s,17
12,11,Ralf SchumacherRSC,Toyota,1:38.661,+1.637s,23
13,14,David CoulthardCOU,Red Bull Renault,1:38.700,+1.676s,25
14,7,Jenson ButtonBUT,Honda,1:38.942,+1.918s,18
15,8,Rubens BarrichelloBAR,Honda,1:38.945,+1.921s,22
16,22,Takuma SatoSAT,Super Aguri Honda,1:39.238,+2.214s,23
17,18,Vitantonio LiuzziLIU,STR Ferrari,1:39.497,+2.473s,22
18,15,Mark WebberWEB,Red Bull Renault,1:39.535,+2.511s,23
19,23,Anthony DavidsonDAV,Super Aguri Honda,1:39.539,+2.515s,20
20,19,Sebastian VettelVET,STR Ferrari,1:39.898,+2.874s,24
21,21,Sakon YamamotoYAM,Spyker Ferrari,1:40.126,+3.102s,27
22,20,Adrian SutilSUT,Spyker Ferrari,1:40.149,+3.125s,26
