Pos,No,Driver,Car,Lap,Time
1,1,Michael SchumacherMSC,Benetton Renault,51,1:20.218
2,5,Damon HillHIL,Williams Renault,9,1:20.635
3,25,Martin BrundleBRU,Ligier Mugen Honda,60,1:21.005
4,6,David CoulthardCOU,Williams Renault,71,1:21.235
5,27,Jean AlesiALE,Ferrari,51,1:21.360
6,26,Olivier PanisPAN,Ligier Mugen Honda,7,1:21.398
7,14,Rubens BarrichelloBAR,Jordan Peugeot,8,1:21.455
8,15,Eddie IrvineIRV,Jordan Peugeot,54,1:21.541
9,28,Gerhard BergerBER,Ferrari,8,1:21.782
10,8,Mika HakkinenHAK,McLaren Mercedes,40,1:22.058
11,30,Heinz-Harald FrentzenFRE,Sauber Ford,70,1:22.688
12,7,Mark BlundellBLU,McLaren Mercedes,45,1:22.698
13,29,Jean-Christophe BoullionBOU,Sauber Ford,46,1:22.866
14,2,Johnny HerbertHER,Benetton Renault,2,1:23.080
15,4,Mika SaloSAL,Tyrrell Yamaha,50,1:23.711
16,9,Gianni MorbidelliMOR,Footwork Hart,35,1:24.256
17,23,Pierluigi MartiniMAR,Minardi Ford,10,1:24.354
18,24,Luca BadoerBAD,Minardi Ford,30,1:24.546
19,17,Andrea MonterminiMON,Pacific Ilmor,39,1:24.812
20,16,Bertrand GachotGAC,Pacific Ilmor,7,1:26.158
21,22,Roberto MorenoMOR,Forti Ford,7,1:26.748
