Pos,No,Driver,Car,Lap,Time
1,27,Jean AlesiALE,Ferrari,36,1:24.621
2,1,Michael SchumacherMSC,Benetton Renault,33,1:24.773
3,5,Damon HillHIL,Williams Renault,54,1:24.790
4,28,Gerhard BergerBER,Ferrari,49,1:25.379
5,6,David CoulthardCOU,Williams Renault,15,1:25.884
6,25,Martin BrundleBRU,Ligier Mugen Honda,39,1:25.985
7,14,Rubens BarrichelloBAR,Jordan Peugeot,51,1:26.279
8,7,Mark BlundellBLU,McLaren Mercedes,33,1:26.717
9,30,Heinz-Harald FrentzenFRE,Sauber Ford,49,1:26.741
10,26,Olivier PanisPAN,Ligier Mugen Honda,62,1:26.819
11,2,Johnny HerbertHER,Benetton Renault,8,1:26.923
12,15,Eddie IrvineIRV,Jordan Peugeot,19,1:26.933
13,8,Mika HakkinenHAK,McLaren Mercedes,5,1:27.091
14,24,Luca BadoerBAD,Minardi Ford,60,1:27.359
15,9,Gianni MorbidelliMOR,Footwork Hart,45,1:27.532
16,3,Ukyo KatayamaKAT,Tyrrell Yamaha,10,1:27.568
17,23,Pierluigi MartiniMAR,Minardi Ford,60,1:27.761
18,4,Mika SaloSAL,Tyrrell Yamaha,45,1:27.914
19,29,Jean-Christophe BoullionBOU,Sauber Ford,57,1:28.417
20,17,Andrea MonterminiMON,Pacific Ilmor,20,1:29.548
21,10,Taki InoueINO,Footwork Hart,21,1:30.174
22,21,Pedro DinizDIN,Forti Ford,55,1:30.193
23,16,Bertrand GachotGAC,Pacific Ilmor,7,1:30.394
24,22,Roberto MorenoMOR,Forti Ford,6,1:30.532
