Pos,No,Driver,Car,Lap,Time
1,1,Michael SchumacherMSC,Benetton Renault,57,1:21.180
2,6,David CoulthardCOU,Williams Renault,60,1:21.739
3,5,Damon HillHIL,Williams Renault,58,1:21.933
4,2,Johnny HerbertHER,Benetton Renault,56,1:22.544
5,8,Mika HakkinenHAK,McLaren Mercedes,65,1:22.760
6,27,Jean AlesiALE,Ferrari,58,1:22.814
7,25,Martin BrundleBRU,Ligier Mugen Honda,64,1:23.801
8,28,Gerhard BergerBER,Ferrari,38,1:24.239
9,15,Eddie IrvineIRV,Jordan Peugeot,63,1:24.775
10,14,Rubens BarrichelloBAR,Jordan Peugeot,37,1:25.018
11,29,Jean-Christophe BoullionBOU,Sauber Ford,43,1:25.385
12,4,Mika SaloSAL,Tyrrell Yamaha,61,1:25.516
13,24,Luca BadoerBAD,Minardi Ford,62,1:25.962
14,3,Gabriele TarquiniTAR,Tyrrell Yamaha,61,1:26.160
15,9,Massimiliano PapisPAP,Footwork Hart,55,1:26.332
16,17,Andrea MonterminiMON,Pacific Ilmor,44,1:26.566
17,23,Pedro LamyLAM,Minardi Ford,59,1:26.832
18,21,Pedro DinizDIN,Forti Ford,57,1:27.555
19,16,Jean-Denis DeletrazDEL,Pacific Ilmor,59,1:31.253
20,30,Heinz-Harald FrentzenFRE,Sauber Ford,16,1:37.423
21,22,Roberto MorenoMOR,Forti Ford,21,1:37.763
22,26,Olivier PanisPAN,Ligier Mugen Honda,12,1:39.347
23,7,Mark BlundellBLU,McLaren Mercedes,14,1:40.613
