Pos,No,Driver,Car,Lap,Time
1,1,Michael SchumacherMSC,Benetton Renault,40,1:16.374
2,5,Damon HillHIL,Williams Renault,72,1:16.444
3,6,David CoulthardCOU,Williams Renault,4,1:16.674
4,15,Eddie IrvineIRV,Jordan Peugeot,76,1:16.927
5,28,Gerhard BergerBER,Ferrari,63,1:17.795
6,27,Jean AlesiALE,Ferrari,8,1:17.854
7,30,Heinz-Harald FrentzenFRE,Sauber Ford,56,1:17.913
8,2,Johnny HerbertHER,Benetton Renault,65,1:18.164
9,14,Rubens BarrichelloBAR,Jordan Peugeot,43,1:18.326
10,26,Olivier PanisPAN,Ligier Mugen Honda,29,1:18.335
11,8,Jan MagnussenMAG,McLaren Mercedes,68,1:18.631
12,7,Mark BlundellBLU,McLaren Mercedes,46,1:18.983
13,3,Ukyo KatayamaKAT,Tyrrell Yamaha,61,1:19.574
14,25,Aguri SuzukiSUZ,Ligier Mugen Honda,3,1:19.816
15,4,Mika SaloSAL,Tyrrell Yamaha,69,1:19.878
16,9,Gianni MorbidelliMOR,Footwork Hart,23,1:19.975
17,23,Pedro LamyLAM,Minardi Ford,4,1:20.055
18,29,Jean-Christophe BoullionBOU,Sauber Ford,6,1:20.099
19,24,Luca BadoerBAD,Minardi Ford,77,1:20.299
20,17,Andrea MonterminiMON,Pacific Ilmor,4,1:21.355
21,10,Taki InoueINO,Footwork Hart,7,1:21.503
22,22,Roberto MorenoMOR,Forti Ford,60,1:22.102
23,21,Pedro DinizDIN,Forti Ford,32,1:22.528
24,16,Bertrand GachotGAC,Pacific Ilmor,2,1:26.608
