Pos,No,Driver,Car,Lap,Time
1,1,Michael SchumacherMSC,Benetton Renault,55,1:30.522
2,5,Damon HillHIL,Williams Renault,21,1:31.253
3,27,Jean AlesiALE,Ferrari,25,1:31.453
4,28,Gerhard BergerBER,Ferrari,65,1:31.868
5,6,David CoulthardCOU,Williams Renault,3,1:32.095
6,2,Johnny HerbertHER,Benetton Renault,32,1:33.082
7,4,Mika SaloSAL,Tyrrell Yamaha,28,1:33.636
8,14,Rubens BarrichelloBAR,Jordan Peugeot,26,1:33.810
9,26,Olivier PanisPAN,Ligier Mugen Honda,27,1:33.953
10,25,Aguri SuzukiSUZ,Ligier Mugen Honda,26,1:34.049
11,3,Ukyo KatayamaKAT,Tyrrell Yamaha,5,1:34.106
12,30,Heinz-Harald FrentzenFRE,Sauber Ford,4,1:34.331
13,9,Gianni MorbidelliMOR,Footwork Hart,26,1:34.396
14,7,Mark BlundellBLU,McLaren Mercedes,5,1:34.963
15,15,Eddie IrvineIRV,Jordan Peugeot,4,1:35.070
16,10,Taki InoueINO,Footwork Hart,30,1:35.325
17,12,Jos VerstappenVER,Simtek Ford,5,1:35.353
18,23,Pierluigi MartiniMAR,Minardi Ford,5,1:35.837
19,11,Domenico SchiattarellaSCH,Simtek Ford,27,1:35.945
20,21,Pedro DinizDIN,Forti Ford,4,1:40.683
21,22,Roberto MorenoMOR,Forti Ford,4,1:40.730
