Pos,No,Driver,Car,Lap,Time
1,5,Damon HillHIL,Williams Renault,34,1:20.247
2,1,Michael SchumacherMSC,Benetton Renault,22,1:20.506
3,6,David CoulthardCOU,Williams Renault,58,1:21.126
4,26,Olivier PanisPAN,Ligier Mugen Honda,40,1:21.343
5,28,Gerhard BergerBER,Ferrari,38,1:21.371
6,25,Martin BrundleBRU,Ligier Mugen Honda,40,1:21.977
7,15,Eddie IrvineIRV,Jordan Peugeot,49,1:22.211
8,7,Mark BlundellBLU,McLaren Mercedes,27,1:22.235
9,27,Jean AlesiALE,Ferrari,25,1:22.276
10,2,Johnny HerbertHER,Benetton Renault,6,1:22.560
11,14,Rubens BarrichelloBAR,Jordan Peugeot,27,1:22.677
12,8,Mika HakkinenHAK,McLaren Mercedes,3,1:22.720
13,30,Heinz-Harald FrentzenFRE,Sauber Ford,69,1:23.146
14,29,Jean-Christophe BoullionBOU,Sauber Ford,53,1:23.424
15,4,Mika SaloSAL,Tyrrell Yamaha,27,1:23.556
16,24,Luca BadoerBAD,Minardi Ford,51,1:23.608
17,3,Ukyo KatayamaKAT,Tyrrell Yamaha,25,1:23.994
18,23,Pedro LamyLAM,Minardi Ford,16,1:24.269
19,10,Taki InoueINO,Footwork Hart,9,1:24.804
20,9,Massimiliano PapisPAP,Footwork Hart,8,1:25.730
21,17,Andrea MonterminiMON,Pacific Ilmor,40,1:26.077
22,22,Roberto MorenoMOR,Forti Ford,6,1:26.556
23,21,Pedro DinizDIN,Forti Ford,6,1:26.913
24,16,Giovanni LavaggiLAV,Pacific Ilmor,3,1:27.894
