Pos,No,Driver,Car,Lap,Time
1,6,David CoulthardCOU,Williams Renault,11,1:53.412
2,1,Michael SchumacherMSC,Benetton Renault,17,1:53.613
3,5,Damon HillHIL,Williams Renault,14,1:54.473
4,28,Gerhard BergerBER,Ferrari,18,1:55.462
5,15,Eddie IrvineIRV,Jordan Peugeot,14,1:55.561
6,2,Johnny HerbertHER,Benetton Renault,16,1:55.630
7,7,Mark BlundellBLU,McLaren Mercedes,15,1:55.972
8,30,Heinz-Harald FrentzenFRE,Sauber Ford,18,1:56.261
9,25,Martin BrundleBRU,Ligier Mugen Honda,15,1:56.502
10,26,Olivier PanisPAN,Ligier Mugen Honda,16,1:56.696
11,27,Jean AlesiALE,Ferrari,3,1:56.853
12,14,Rubens BarrichelloBAR,Jordan Peugeot,11,1:56.967
13,3,Ukyo KatayamaKAT,Tyrrell Yamaha,18,1:57.229
14,4,Mika SaloSAL,Tyrrell Yamaha,17,1:57.420
15,9,Massimiliano PapisPAP,Footwork Hart,17,1:57.866
16,29,Jean-Christophe BoullionBOU,Sauber Ford,15,1:57.927
17,23,Pedro LamyLAM,Minardi Ford,17,1:58.312
18,24,Luca BadoerBAD,Minardi Ford,14,1:58.395
19,10,Taki InoueINO,Footwork Hart,15,1:59.331
20,17,Andrea MonterminiMON,Pacific Ilmor,16,2:00.136
21,21,Pedro DinizDIN,Forti Ford,17,2:02.546
22,22,Roberto MorenoMOR,Forti Ford,15,2:02.603
23,16,Giovanni LavaggiLAV,Pacific Ilmor,15,2:04.196
24,8,Mika HakkinenHAK,McLaren Mercedes,1,2:07.082
