Pos,No,Driver,Car,Lap,Time
1,28,Gerhard BergerBER,Ferrari,24,1:26.419
2,2,Johnny HerbertHER,Benetton Renault,28,1:26.481
3,7,Mark BlundellBLU,McLaren Mercedes,51,1:26.784
4,27,Jean AlesiALE,Ferrari,21,1:26.818
5,8,Mika HakkinenHAK,McLaren Mercedes,26,1:26.869
6,6,David CoulthardCOU,Williams Renault,11,1:26.936
7,5,Damon HillHIL,Williams Renault,19,1:26.936
8,1,Michael SchumacherMSC,Benetton Renault,21,1:26.969
9,14,Rubens BarrichelloBAR,Jordan Peugeot,26,1:26.970
10,30,Heinz-Harald FrentzenFRE,Sauber Ford,22,1:27.138
11,15,Eddie IrvineIRV,Jordan Peugeot,23,1:27.472
12,26,Olivier PanisPAN,Ligier Mugen Honda,20,1:28.710
13,4,Mika SaloSAL,Tyrrell Yamaha,26,1:28.795
14,3,Ukyo KatayamaKAT,Tyrrell Yamaha,41,1:28.909
15,29,Jean-Christophe BoullionBOU,Sauber Ford,49,1:28.976
16,24,Luca BadoerBAD,Minardi Ford,19,1:29.175
17,9,Massimiliano PapisPAP,Footwork Hart,22,1:29.402
18,25,Martin BrundleBRU,Ligier Mugen Honda,7,1:29.424
19,10,Taki InoueINO,Footwork Hart,49,1:29.426
20,21,Pedro DinizDIN,Forti Ford,17,1:31.563
21,16,Giovanni LavaggiLAV,Pacific Ilmor,4,1:33.023
