Pos,No,Driver,Car,Lap,Time
1,1,Michael SchumacherMSC,Benetton Renault,33,1:42.976
2,6,David CoulthardCOU,Williams Renault,33,1:43.079
3,5,Damon HillHIL,Williams Renault,31,1:43.193
4,8,Mika HakkinenHAK,McLaren Mercedes,38,1:43.369
5,2,Johnny HerbertHER,Benetton Renault,37,1:43.404
6,15,Eddie IrvineIRV,Jordan Peugeot,30,1:43.477
7,30,Heinz-Harald FrentzenFRE,Sauber Ford,35,1:44.211
8,7,Mark BlundellBLU,McLaren Mercedes,50,1:44.287
9,27,Jean AlesiALE,Ferrari,23,1:44.370
10,4,Mika SaloSAL,Tyrrell Yamaha,51,1:45.625
11,26,Olivier PanisPAN,Ligier Mugen Honda,47,1:45.661
12,29,Karl WendlingerWEN,Sauber Ford,43,1:45.824
13,10,Taki InoueINO,Footwork Hart,42,1:46.600
14,23,Pedro LamyLAM,Minardi Ford,44,1:46.954
15,24,Luca BadoerBAD,Minardi Ford,47,1:47.025
16,17,Andrea MonterminiMON,Pacific Ilmor,21,1:49.985
17,21,Pedro DinizDIN,Forti Ford,30,1:50.261
18,14,Rubens BarrichelloBAR,Jordan Peugeot,13,1:51.343
19,28,Gerhard BergerBER,Ferrari,12,1:52.165
20,3,Ukyo KatayamaKAT,Tyrrell Yamaha,12,1:56.404
21,16,Bertrand GachotGAC,Pacific Ilmor,5,2:06.927
