Pos,No,Driver,Car,Lap,Time
1,1,Michael SchumacherMSC,Benetton Renault,22,1:48.824
2,6,David CoulthardCOU,Williams Renault,5,1:49.714
3,8,Mika HakkinenHAK,McLaren Mercedes,14,1:49.900
4,28,Gerhard BergerBER,Ferrari,20,1:49.926
5,14,Rubens BarrichelloBAR,Jordan Peugeot,6,1:49.927
6,15,Eddie IrvineIRV,Jordan Peugeot,30,1:50.646
7,27,Jean AlesiALE,Ferrari,10,1:50.672
8,26,Olivier PanisPAN,Ligier Mugen Honda,7,1:50.690
9,7,Mark BlundellBLU,McLaren Mercedes,6,1:50.781
10,2,Johnny HerbertHER,Benetton Renault,25,1:50.929
11,30,Heinz-Harald FrentzenFRE,Sauber Ford,14,1:51.426
12,25,Aguri SuzukiSUZ,Ligier Mugen Honda,25,1:51.760
13,29,Jean-Christophe BoullionBOU,Sauber Ford,20,1:52.033
14,3,Ukyo KatayamaKAT,Tyrrell Yamaha,25,1:52.791
15,24,Luca BadoerBAD,Minardi Ford,4,1:52.859
16,10,Taki InoueINO,Footwork Hart,5,1:53.541
17,5,Damon HillHIL,Williams Renault,1,1:53.989
18,23,Pierluigi MartiniMAR,Minardi Ford,5,1:54.210
19,17,Andrea MonterminiMON,Pacific Ilmor,23,1:54.341
20,22,Roberto MorenoMOR,Forti Ford,4,1:56.038
21,16,Giovanni LavaggiLAV,Pacific Ilmor,3,1:58.836
22,21,Pedro DinizDIN,Forti Ford,2,2:02.176
