Pos,No,Driver,Car,Lap,Time
1,1,Michael SchumacherMSC,Benetton Renault,51,1:20.921
2,5,Damon HillHIL,Williams Renault,25,1:20.982
3,6,David CoulthardCOU,Williams Renault,39,1:21.543
4,8,Mika HakkinenHAK,McLaren Mercedes,35,1:22.495
5,28,Gerhard BergerBER,Ferrari,30,1:22.679
6,9,Gianni MorbidelliMOR,Footwork Hart,61,1:22.818
7,4,Mika SaloSAL,Tyrrell Yamaha,25,1:22.979
8,2,Johnny HerbertHER,Benetton Renault,18,1:23.009
9,25,Aguri SuzukiSUZ,Ligier Mugen Honda,25,1:23.049
10,27,Jean AlesiALE,Ferrari,16,1:23.207
11,7,Mark BlundellBLU,McLaren Mercedes,38,1:23.252
12,14,Rubens BarrichelloBAR,Jordan Peugeot,13,1:23.346
13,15,Eddie IrvineIRV,Jordan Peugeot,11,1:23.355
14,3,Ukyo KatayamaKAT,Tyrrell Yamaha,4,1:23.718
15,30,Heinz-Harald FrentzenFRE,Sauber Ford,10,1:24.087
16,29,Karl WendlingerWEN,Sauber Ford,23,1:24.387
17,12,Jos VerstappenVER,Simtek Ford,3,1:26.017
18,24,Luca BadoerBAD,Minardi Ford,13,1:26.349
19,10,Taki InoueINO,Footwork Hart,34,1:26.470
20,16,Bertrand GachotGAC,Pacific Ilmor,22,1:26.826
21,17,Andrea MonterminiMON,Pacific Ilmor,7,1:27.447
22,22,Roberto MorenoMOR,Forti Ford,31,1:27.829
23,11,Domenico SchiattarellaSCH,Simtek Ford,9,1:28.467
24,21,Pedro DinizDIN,Forti Ford,49,1:28.811
