Pos,No,Driver,Car,Lap,Time
1,1,Michael SchumacherMSC,Benetton Renault,67,1:29.174
2,27,Jean AlesiALE,Ferrari,33,1:30.398
3,28,Gerhard BergerBER,Ferrari,21,1:30.491
4,14,Rubens BarrichelloBAR,Jordan Peugeot,33,1:30.626
5,5,Damon HillHIL,Williams Renault,9,1:30.783
6,15,Eddie IrvineIRV,Jordan Peugeot,32,1:30.874
7,30,Heinz-Harald FrentzenFRE,Sauber Ford,26,1:31.155
8,25,Martin BrundleBRU,Ligier Mugen Honda,56,1:31.496
9,7,Mark BlundellBLU,McLaren Mercedes,25,1:31.527
10,26,Olivier PanisPAN,Ligier Mugen Honda,66,1:31.654
11,9,Gianni MorbidelliMOR,Footwork Hart,31,1:31.791
12,4,Mika SaloSAL,Tyrrell Yamaha,40,1:32.153
13,3,Ukyo KatayamaKAT,Tyrrell Yamaha,37,1:32.435
14,23,Pierluigi MartiniMAR,Minardi Ford,46,1:32.855
15,29,Jean-Christophe BoullionBOU,Sauber Ford,13,1:32.975
16,24,Luca BadoerBAD,Minardi Ford,15,1:33.000
17,10,Taki InoueINO,Footwork Hart,31,1:33.079
18,16,Bertrand GachotGAC,Pacific Ilmor,21,1:33.607
19,17,Andrea MonterminiMON,Pacific Ilmor,5,1:35.588
20,22,Roberto MorenoMOR,Forti Ford,51,1:36.483
21,21,Pedro DinizDIN,Forti Ford,5,1:38.055
22,6,David CoulthardCOU,Williams Renault,1,1:40.928
