Pos,No,Driver,Car,Lap,Time
1,5,Damon HillHIL,Williams Renault,16,1:17.943
2,6,David CoulthardCOU,Williams Renault,5,1:18.025
3,1,Michael SchumacherMSC,Benetton Renault,7,1:18.199
4,2,Johnny HerbertHER,Benetton Renault,33,1:19.056
5,28,Gerhard BergerBER,Ferrari,7,1:19.493
6,27,Jean AlesiALE,Ferrari,12,1:19.503
7,30,Heinz-Harald FrentzenFRE,Sauber Ford,20,1:19.861
8,26,Olivier PanisPAN,Ligier Mugen Honda,26,1:20.305
9,15,Eddie IrvineIRV,Jordan Peugeot,14,1:20.563
10,14,Rubens BarrichelloBAR,Jordan Peugeot,14,1:20.643
11,25,Martin BrundleBRU,Ligier Mugen Honda,29,1:20.835
12,7,Mark BlundellBLU,McLaren Mercedes,53,1:21.363
13,4,Mika SaloSAL,Tyrrell Yamaha,45,1:21.392
14,9,Gianni MorbidelliMOR,Footwork Hart,12,1:21.418
15,23,Pedro LamyLAM,Minardi Ford,48,1:21.677
16,10,Taki InoueINO,Footwork Hart,14,1:22.641
17,29,Karl WendlingerWEN,Sauber Ford,4,1:22.784
18,3,Ukyo KatayamaKAT,Tyrrell Yamaha,4,1:22.790
19,22,Roberto MorenoMOR,Forti Ford,7,1:22.944
20,21,Pedro DinizDIN,Forti Ford,4,1:23.253
21,16,Bertrand GachotGAC,Pacific Ilmor,7,1:24.139
22,17,Andrea MonterminiMON,Pacific Ilmor,2,1:25.242
