Pos,No,Driver,Car,Lap,Time
1,5,Damon HillHIL,Williams Renault,46,1:24.531
2,1,Michael SchumacherMSC,Benetton Renault,36,1:24.787
3,6,David CoulthardCOU,Williams Renault,11,1:25.409
4,2,Johnny HerbertHER,Benetton Renault,36,1:25.521
5,27,Jean AlesiALE,Ferrari,15,1:25.671
6,8,Mika HakkinenHAK,McLaren Mercedes,31,1:25.771
7,28,Gerhard BergerBER,Ferrari,48,1:25.794
8,15,Eddie IrvineIRV,Jordan Peugeot,43,1:25.868
9,14,Rubens BarrichelloBAR,Jordan Peugeot,45,1:26.246
10,26,Olivier PanisPAN,Ligier Mugen Honda,22,1:26.369
11,25,Martin BrundleBRU,Ligier Mugen Honda,25,1:27.039
12,7,Nigel MansellMAN,McLaren Mercedes,17,1:27.054
13,9,Gianni MorbidelliMOR,Footwork Hart,57,1:27.284
14,30,Heinz-Harald FrentzenFRE,Sauber Ford,24,1:27.328
15,3,Ukyo KatayamaKAT,Tyrrell Yamaha,42,1:27.467
16,4,Mika SaloSAL,Tyrrell Yamaha,58,1:27.823
17,12,Jos VerstappenVER,Simtek Ford,39,1:27.923
18,29,Karl WendlingerWEN,Sauber Ford,50,1:27.991
19,10,Taki InoueINO,Footwork Hart,16,1:28.204
20,23,Pierluigi MartiniMAR,Minardi Ford,21,1:28.828
21,24,Luca BadoerBAD,Minardi Ford,17,1:29.032
22,11,Domenico SchiattarellaSCH,Simtek Ford,44,1:29.712
23,16,Bertrand GachotGAC,Pacific Ilmor,35,1:29.924
24,22,Roberto MorenoMOR,Forti Ford,7,1:31.783
25,21,Pedro DinizDIN,Forti Ford,4,1:32.423
