Pos,No,Driver,Car,Time
1,2,Alain ProstPRO,Williams Renault,1:10.458
2,0,Damon HillHIL,Williams Renault,1:10.762
3,5,Michael SchumacherMSC,Benetton Ford,1:12.008
4,8,Ayrton SennaSEN,McLaren Ford,1:12.107
5,29,Karl WendlingerWEN,Sauber,1:12.738
6,7,Michael AndrettiAND,McLaren Ford,1:12.739
7,30,Jyrki JarvilehtoJAR,Sauber,1:12.763
8,28,Gerhard BergerBER,Ferrari,1:12.862
9,27,Jean AlesiALE,Ferrari,1:12.980
10,6,Riccardo PatresePAT,Benetton Ford,1:12.982
11,12,Johnny HerbertHER,Lotus Ford,1:13.328
12,14,Rubens BarrichelloBAR,Jordan Hart,1:13.514
13,11,Alessandro ZanardiZAN,Lotus Ford,1:13.560
14,9,Derek WarwickWAR,Footwork Mugen Honda,1:13.664
15,19,Philippe AlliotALL,Larrousse Lamborghini,1:13.665
16,23,Christian FittipaldiFIT,Minardi Ford,1:13.666
17,20,Erik ComasCOM,Larrousse Lamborghini,1:13.970
18,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:14.121
19,15,Thierry BoutsenBOU,Jordan Hart,1:14.246
20,24,Fabrizio BarbazzaBAR,Minardi Ford,1:14.274
21,26,Mark BlundellBLU,Ligier Renault,1:14.301
22,25,Martin BrundleBRU,Ligier Renault,1:14.306
23,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:14.927
24,21,Michele AlboretoALB,Lola Ferrari,1:15.322
25,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:15.417
