Pos,No,Driver,Car,Time
1,2,Alain ProstPRO,Williams Renault,1:15.696
2,8,Ayrton SennaSEN,McLaren Ford,1:15.784
3,5,Michael SchumacherMSC,Benetton Ford,1:17.261
4,0,Damon HillHIL,Williams Renault,1:17.592
5,27,Jean AlesiALE,Ferrari,1:18.234
6,30,Jyrki JarvilehtoJAR,Sauber,1:18.664
7,6,Riccardo PatresePAT,Benetton Ford,1:18.676
8,26,Mark BlundellBLU,Ligier Renault,1:18.687
9,7,Michael AndrettiAND,McLaren Ford,1:18.786
10,29,Karl WendlingerWEN,Sauber,1:18.950
11,19,Philippe AlliotALL,Larrousse Lamborghini,1:19.034
12,25,Martin BrundleBRU,Ligier Renault,1:19.138
13,23,Christian FittipaldiFIT,Minardi Ford,1:19.285
14,14,Rubens BarrichelloBAR,Jordan Hart,1:19.305
15,28,Gerhard BergerBER,Ferrari,1:19.386
16,11,Alessandro ZanardiZAN,Lotus Ford,1:19.396
17,12,Johnny HerbertHER,Lotus Ford,1:19.498
18,15,Ivan CapelliCAP,Jordan Hart,1:19.759
19,20,Erik ComasCOM,Larrousse Lamborghini,1:20.081
20,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:20.237
21,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:20.401
22,9,Derek WarwickWAR,Footwork Mugen Honda,1:20.402
23,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:20.660
24,24,Fabrizio BarbazzaBAR,Minardi Ford,1:20.994
25,21,Michele AlboretoALB,Lola Ferrari,1:21.893
26,22,Luca BadoerBAD,Lola Ferrari,1:24.737
