Pos,No,Driver,Car,Time
1,2,Alain ProstPRO,Williams Renault,1:15.866
2,0,Damon HillHIL,Williams Renault,1:16.859
3,8,Ayrton SennaSEN,McLaren Ford,1:17.697
4,5,Michael SchumacherMSC,Benetton Ford,1:17.821
5,7,Michael AndrettiAND,McLaren Ford,1:18.635
6,6,Riccardo PatresePAT,Benetton Ford,1:19.049
7,30,Jyrki JarvilehtoJAR,Sauber,1:19.207
8,29,Karl WendlingerWEN,Sauber,1:19.230
9,27,Jean AlesiALE,Ferrari,1:19.260
10,26,Mark BlundellBLU,Ligier Renault,1:19.296
11,19,Philippe AlliotALL,Larrousse Lamborghini,1:19.340
12,12,Johnny HerbertHER,Lotus Ford,1:19.435
13,28,Gerhard BergerBER,Ferrari,1:19.561
14,14,Rubens BarrichelloBAR,Jordan Hart,1:19.593
15,11,Alessandro ZanardiZAN,Lotus Ford,1:19.804
16,25,Martin BrundleBRU,Ligier Renault,1:19.835
17,20,Erik ComasCOM,Larrousse Lamborghini,1:19.868
18,9,Derek WarwickWAR,Footwork Mugen Honda,1:20.064
19,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:20.232
20,23,Christian FittipaldiFIT,Minardi Ford,1:20.716
21,22,Luca BadoerBAD,Lola Ferrari,1:20.908
22,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:20.991
23,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:21.224
24,24,Fabrizio BarbazzaBAR,Minardi Ford,1:21.228
25,21,Michele AlboretoALB,Lola Ferrari,1:21.488
