Pos,No,Driver,Car,Time,Gap,Laps
1,16,Charles LeclercLEC,Ferrari,1:34.462,,20
2,33,Max VerstappenVER,Red Bull Racing Honda,1:34.544,+0.082s,25
3,5,Sebastian VettelVET,Ferrari,1:35.005,+0.543s,20
4,77,Valtteri BottasBOT,Mercedes,1:35.198,+0.736s,28
5,44,Lewis HamiltonHAM,Mercedes,1:35.411,+0.949s,22
6,23,Alexander AlbonALB,Red Bull Racing Honda,1:35.484,+1.022s,22
7,27,Nico HulkenbergHUL,Renault,1:35.740,+1.278s,21
8,3,Daniel RicciardoRIC,Renault,1:36.287,+1.825s,20
9,11,Sergio PerezPER,Racing Point BWT Mercedes,1:36.321,+1.859s,27
10,8,Romain GrosjeanGRO,Haas Ferrari,1:36.516,+2.054s,23
11,55,Carlos SainzSAI,McLaren Renault,1:36.523,+2.061s,28
12,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:36.538,+2.076s,25
13,20,Kevin MagnussenMAG,Haas Ferrari,1:36.596,+2.134s,21
14,18,Lance StrollSTR,Racing Point BWT Mercedes,1:36.714,+2.252s,26
15,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:36.770,+2.308s,22
16,4,Lando NorrisNOR,McLaren Renault,1:36.844,+2.382s,30
17,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:37.328,+2.866s,18
18,63,George RussellRUS,Williams Mercedes,1:38.520,+4.058s,27
19,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,1:38.550,+4.088s,5
20,88,Robert KubicaKUB,Williams Mercedes,1:38.670,+4.208s,29
