Pos,No,Driver,Car,Time,Gap,Laps
1,16,Charles LeclercLEC,Ferrari,1:47.497,,5
2,5,Sebastian VettelVET,Ferrari,1:49.598,+2.101s,4
3,8,Romain GrosjeanGRO,Haas Ferrari,,,1
4,4,Lando NorrisNOR,McLaren Renault,,,1
5,33,Max VerstappenVER,Red Bull Racing Honda,,,1
6,20,Kevin MagnussenMAG,Haas Ferrari,,,1
7,55,Carlos SainzSAI,McLaren Renault,,,1
8,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,,,1
9,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,,,1
10,88,Robert KubicaKUB,Williams Mercedes,,,1
11,63,George RussellRUS,Williams Mercedes,,,3
12,23,Alexander AlbonALB,Scuderia Toro Rosso Honda,,,1
13,3,Daniel RicciardoRIC,Renault,,,1
14,27,Nico HulkenbergHUL,Renault,,,1
15,10,Pierre GaslyGAS,Red Bull Racing Honda,,,1
16,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,,,1
17,11,Sergio PerezPER,Racing Point BWT Mercedes,,,1
18,18,Lance StrollSTR,Racing Point BWT Mercedes,,,1
