Pos,No,Driver,Car,Laps,Time/retired,Pts
1,6,Nelson PiquetPIQ,Williams Honda,44,1:21:25.091,9
2,2,Stefan JohanssonJOH,McLaren TAG,44,+99.591s,6
3,12,Ayrton SennaSEN,Lotus Honda,43,+1 lap,4
4,4,Philippe StreiffSTR,Tyrrell Ford,43,+1 lap,3
5,3,Jonathan  PalmerPAL,Tyrrell Ford,43,+1 lap,2
6,30,Philippe AlliotALL,Lola Ford,42,+2 laps,1
NC,1,Alain ProstPRO,McLaren TAG,39,DNF,0
NC,9,Martin BrundleBRU,Zakspeed,34,+10 laps,0
NC,26,Piercarlo GhinzaniGHI,Ligier Megatron,32,DNF,0
NC,23,Adrian CamposCAM,Minardi Motori Moderni,28,DNF,0
NC,20,Thierry BoutsenBOU,Benetton Ford,26,DNF,0
NC,5,Nigel MansellMAN,Williams Honda,25,DNF,0
NC,24,Alessandro NanniniNAN,Minardi Motori Moderni,25,DNF,0
NC,17,Derek WarwickWAR,Arrows Megatron,23,DNF,0
NC,10,Christian DannerDAN,Zakspeed,21,DNF,0
NC,28,Gerhard BergerBER,Ferrari,19,DNF,0
NC,19,Teo FabiFAB,Benetton Ford,18,DNF,0
NC,21,Alex CaffiCAF,Osella Alfa Romeo,17,DNF,0
NC,8,Andrea de CesarisDEC,Brabham BMW,12,DNF,0
NC,27,Michele AlboretoALB,Ferrari,10,DNF,0
NC,14,Pascal FabreFAB,AGS Ford,10,DNF,0
NC,18,Eddie  CheeverCHE,Arrows Megatron,9,DNF,0
NC,11,Satoru NakajimaNAK,Lotus Honda,9,DNF,0
NC,16,Ivan CapelliCAP,March Ford,7,DNF,0
NC,25,Rene ArnouxARN,Ligier Megatron,6,DNF,0
NC,7,Riccardo PatresePAT,Brabham BMW,5,DNF,0
