Pos,No,Driver,Car,Laps,Time/retired,Pts
1,3,Michael SchumacherMSC,Ferrari,58,1:34:01.987,10
2,4,Rubens BarrichelloBAR,Ferrari,58,+11.415s,6
3,9,Ralf SchumacherRSC,Williams BMW,58,+20.009s,4
4,22,Jacques VilleneuveVIL,BAR Honda,58,+44.447s,3
5,11,Giancarlo FisichellaFIS,Benetton Playlife,58,+45.165s,2
6,23,Ricardo ZontaZON,BAR Honda,58,+46.468s,1
7,12,Alexander WurzWUR,Benetton Playlife,58,+46.915s,0
8,20,Marc GeneGEN,Minardi Fondmetal,57,+1 lap,0
9,15,Nick HeidfeldHEI,Prost Peugeot,56,+2 laps,0
NC,10,Jenson ButtonBUT,Williams BMW,46,DNF,0
NC,16,Pedro DinizDIN,Sauber Petronas,41,DNF,0
NC,21,Gaston MazzacaneMAZ,Minardi Fondmetal,40,DNF,0
NC,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,39,DNF,0
NC,6,Jarno TrulliTRU,Jordan Mugen Honda,35,DNF,0
NC,14,Jean AlesiALE,Prost Peugeot,27,DNF,0
NC,1,Mika HakkinenHAK,McLaren Mercedes,18,DNF,0
NC,19,Jos VerstappenVER,Arrows Supertec,16,DNF,0
NC,2,David CoulthardCOU,McLaren Mercedes,11,DNF,0
NC,18,Pedro de la RosaDLR,Arrows Supertec,6,DNF,0
NC,7,Eddie IrvineIRV,Jaguar Cosworth,6,DNF,0
NC,8,Johnny HerbertHER,Jaguar Cosworth,1,DNF,0
