Pos,No,Driver,Car,Laps,Time/retired,Pts
1,2,Nigel MansellMAN,Ferrari,61,1:22:11.014,9
2,27,Ayrton SennaSEN,McLaren Honda,61,+2.808s,6
3,1,Alain ProstPRO,Ferrari,61,+4.189s,4
4,28,Gerhard BergerBER,McLaren Honda,61,+5.896s,3
5,20,Nelson PiquetPIQ,Benetton Ford,61,+57.418s,2
6,19,Alessandro NanniniNAN,Benetton Ford,61,+58.249s,1
7,6,Riccardo PatresePAT,Williams Renault,60,+1 lap,0
8,4,Jean AlesiALE,Tyrrell Ford,60,+1 lap,0
9,9,Michele AlboretoALB,Arrows Ford,60,+1 lap,0
10,25,Nicola LariniLAR,Ligier Ford,59,+2 laps,0
11,23,Pierluigi MartiniMAR,Minardi Ford,59,+2 laps,0
12,15,Mauricio GugelminGUG,Leyton House Judd,59,+2 laps,0
13,10,Alex CaffiCAF,Arrows Ford,58,DNF,0
14,30,Aguri SuzukiSUZ,Lola Lamborghini,58,DNF,0
15,21,Emanuele PirroPIR,Dallara Ford,58,+3 laps,0
NC,26,Philippe AlliotALL,Ligier Ford,52,DNF,0
NC,7,David BrabhamBRA,Brabham Judd,52,DNF,0
NC,16,Ivan CapelliCAP,Leyton House Judd,51,DNF,0
NC,5,Thierry BoutsenBOU,Williams Renault,30,DNF,0
NC,29,Eric BernardBER,Lola Lamborghini,24,DNF,0
NC,8,Stefano ModenaMOD,Brabham Judd,21,DNF,0
NC,12,Martin DonnellyDON,Lotus Lamborghini,14,DNF,0
NC,11,Derek WarwickWAR,Lotus Lamborghini,5,DNF,0
NC,18,Yannick DalmasDAL,AGS Ford,3,DNF,0
