Pos,No,Driver,Car,Time,Gap,Laps
1,4,Kimi RäikkönenRAI,McLaren Mercedes,1:34.232,,33
2,3,David CoulthardCOU,McLaren Mercedes,1:34.730,+0.498s,29
3,2,Rubens BarrichelloBAR,Ferrari,1:35.402,+1.170s,34
4,6,Juan Pablo MontoyaMOY,Williams BMW,1:35.742,+1.510s,38
5,5,Ralf SchumacherRSC,Williams BMW,1:35.995,+1.763s,44
6,1,Michael SchumacherMSC,Ferrari,1:36.109,+1.877s,19
7,16,Eddie IrvineIRV,Jaguar Cosworth,1:36.190,+1.958s,25
8,17,Pedro de la RosaDLR,Jaguar Cosworth,1:36.490,+2.258s,37
9,14,Jarno TrulliTRU,Renault,1:36.529,+2.297s,37
10,9,Giancarlo FisichellaFIS,Jordan Honda,1:36.744,+2.512s,37
11,24,Mika SaloSAL,Toyota,1:36.893,+2.661s,43
12,15,Jenson ButtonBUT,Renault,1:37.014,+2.782s,37
13,10,Takuma SatoSAT,Jordan Honda,1:37.196,+2.964s,45
14,25,Allan McNishMCN,Toyota,1:37.384,+3.152s,43
15,8,Felipe MassaMAS,Sauber Petronas,1:37.492,+3.260s,31
16,7,Nick HeidfeldHEI,Sauber Petronas,1:37.781,+3.549s,39
17,12,Olivier PanisPAN,BAR Honda,1:37.927,+3.695s,23
18,23,Mark WebberWEB,Minardi Asiatech,1:37.997,+3.765s,33
19,11,Jacques VilleneuveVIL,BAR Honda,1:38.138,+3.906s,11
20,22,Alex YoongYOO,Minardi Asiatech,1:39.142,+4.910s,30
