Pos,No,Driver,Car,Time,Gap,Laps
1,14,Jarno TrulliTRU,Renault,1:18.915,,44
2,25,Allan McNishMCN,Toyota,1:19.361,+0.446s,49
3,3,David CoulthardCOU,McLaren Mercedes,1:19.597,+0.682s,37
4,9,Giancarlo FisichellaFIS,Jordan Honda,1:19.680,+0.765s,26
5,24,Mika SaloSAL,Toyota,1:19.815,+0.900s,38
6,5,Ralf SchumacherRSC,Williams BMW,1:19.937,+1.022s,47
7,2,Rubens BarrichelloBAR,Ferrari,1:19.945,+1.030s,43
8,23,Mark WebberWEB,Minardi Asiatech,1:20.028,+1.113s,46
9,6,Juan Pablo MontoyaMOY,Williams BMW,1:20.264,+1.349s,39
10,15,Jenson ButtonBUT,Renault,1:20.375,+1.460s,33
11,1,Michael SchumacherMSC,Ferrari,1:20.404,+1.489s,30
12,12,Olivier PanisPAN,BAR Honda,1:20.887,+1.972s,61
13,20,Heinz-Harald FrentzenFRE,Arrows Cosworth,1:21.005,+2.090s,45
14,11,Jacques VilleneuveVIL,BAR Honda,1:21.086,+2.171s,59
15,7,Nick HeidfeldHEI,Sauber Petronas,1:21.638,+2.723s,38
16,8,Felipe MassaMAS,Sauber Petronas,1:21.683,+2.768s,37
17,10,Takuma SatoSAT,Jordan Honda,1:21.868,+2.953s,38
18,17,Pedro de la RosaDLR,Jaguar Cosworth,1:21.876,+2.961s,22
19,4,Kimi RäikkönenRAI,McLaren Mercedes,1:22.904,+3.989s,6
20,16,Eddie IrvineIRV,Jaguar Cosworth,1:22.917,+4.002s,28
21,21,Enrique BernoldiBER,Arrows Cosworth,1:23.150,+4.235s,30
22,22,Alex YoongYOO,Minardi Asiatech,1:26.518,+7.603s,24
