Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,72,2:24:04.411,25
2,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,72,+3.744s,19
3,10,Pierre GaslyGAS,Alpine Renault,72,+7.058s,15
4,11,Sergio PerezPER,Red Bull Racing Honda RBPT,72,+10.068s,12
5,55,Carlos SainzSAI,Ferrari,72,+12.541s,10
6,44,Lewis HamiltonHAM,Mercedes,72,+13.209s,8
7,4,Lando NorrisNOR,McLaren Mercedes,72,+13.232s,6
8,23,Alexander AlbonALB,Williams Mercedes,72,+15.155s,4
9,81,Oscar PiastriPIA,McLaren Mercedes,72,+16.580s,2
10,31,Esteban OconOCO,Alpine Renault,72,+18.346s,1
11,18,Lance StrollSTR,Aston Martin Aramco Mercedes,72,+20.087s,0
12,27,Nico HulkenbergHUL,Haas Ferrari,72,+20.840s,0
13,40,Liam LawsonLAW,AlphaTauri Honda RBPT,72,+26.147s,0
14,77,Valtteri BottasBOT,Alfa Romeo Ferrari,72,+27.388s,0
15,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,72,+29.893s,0
16,20,Kevin MagnussenMAG,Haas Ferrari,72,+31.410s,0
17,63,George RussellRUS,Mercedes,72,+55.754s,0
NC,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,62,DNF,0
NC,16,Charles LeclercLEC,Ferrari,41,DNF,0
NC,2,Logan SargeantSAR,Williams Mercedes,14,DNF,0
