Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,70,1:33:58.348,25
2,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,70,+9.570s,18
3,44,Lewis HamiltonHAM,Mercedes,70,+14.168s,15
4,16,Charles LeclercLEC,Ferrari,70,+18.648s,12
5,55,Carlos SainzSAI,Ferrari,70,+21.540s,10
6,11,Sergio PerezPER,Red Bull Racing Honda RBPT,70,+51.028s,9
7,23,Alexander AlbonALB,Williams Mercedes,70,+60.813s,6
8,31,Esteban OconOCO,Alpine Renault,70,+61.692s,4
9,18,Lance StrollSTR,Aston Martin Aramco Mercedes,70,+64.402s,2
10,77,Valtteri BottasBOT,Alfa Romeo Ferrari,70,+64.432s,1
11,81,Oscar PiastriPIA,McLaren Mercedes,70,+65.101s,0
12,10,Pierre GaslyGAS,Alpine Renault,70,+65.249s,0
13,4,Lando NorrisNOR,McLaren Mercedes,70,+68.363s,0
14,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,70,+73.423s,0
15,27,Nico HulkenbergHUL,Haas Ferrari,69,+1 lap,0
16,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,69,+1 lap,0
17,20,Kevin MagnussenMAG,Haas Ferrari,69,+1 lap,0
18,21,Nyck De VriesDEV,AlphaTauri Honda RBPT,69,+1 lap,0
NC,63,George RussellRUS,Mercedes,53,DNF,0
NC,2,Logan SargeantSAR,Williams Mercedes,6,DNF,0
