Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,57,1:27:39.168,26
2,81,Oscar PiastriPIA,McLaren Mercedes,57,+4.833s,18
3,4,Lando NorrisNOR,McLaren Mercedes,57,+5.969s,15
4,63,George RussellRUS,Mercedes,57,+34.119s,12
5,16,Charles LeclercLEC,Ferrari,57,+38.976s,10
6,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,57,+49.032s,8
7,31,Esteban OconOCO,Alpine Renault,57,+62.390s,6
8,77,Valtteri BottasBOT,Alfa Romeo Ferrari,57,+66.563s,4
9,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,57,+76.127s,2
10,11,Sergio PerezPER,Red Bull Racing Honda RBPT,57,+80.181s,1
11,18,Lance StrollSTR,Aston Martin Aramco Mercedes,57,+81.652s,0
12,10,Pierre GaslyGAS,Alpine Renault,57,+82.300s,0
13,23,Alexander AlbonALB,Williams Mercedes,57,+91.014s,0
14,20,Kevin MagnussenMAG,Haas Ferrari,56,+1 lap,0
15,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,56,+1 lap,0
16,27,Nico HulkenbergHUL,Haas Ferrari,56,+1 lap,0
17,40,Liam LawsonLAW,AlphaTauri Honda RBPT,56,+1 lap,0
NC,2,Logan SargeantSAR,Williams Mercedes,40,DNF,0
NC,44,Lewis HamiltonHAM,Mercedes,0,DNF,0
NC,55,Carlos SainzSAI,Ferrari,0,DNS,0
