Pos,No,Driver,Car,Laps,Time/retired,Pts
1,55,Carlos SainzSAI,Ferrari,62,1:46:37.418,25
2,4,Lando NorrisNOR,McLaren Mercedes,62,+0.812s,18
3,44,Lewis HamiltonHAM,Mercedes,62,+1.269s,16
4,16,Charles LeclercLEC,Ferrari,62,+21.177s,12
5,1,Max VerstappenVER,Red Bull Racing Honda RBPT,62,+21.441s,10
6,10,Pierre GaslyGAS,Alpine Renault,62,+38.441s,8
7,81,Oscar PiastriPIA,McLaren Mercedes,62,+41.479s,6
8,11,Sergio PerezPER,Red Bull Racing Honda RBPT,62,+59.534s,4
9,40,Liam LawsonLAW,AlphaTauri Honda RBPT,62,+65.918s,2
10,20,Kevin MagnussenMAG,Haas Ferrari,62,+72.116s,1
11,23,Alexander AlbonALB,Williams Mercedes,62,+73.417s,0
12,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,62,+83.649s,0
13,27,Nico HulkenbergHUL,Haas Ferrari,62,+86.201s,0
14,2,Logan SargeantSAR,Williams Mercedes,62,+86.889s,0
15,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,62,+87.603s,0
16,63,George RussellRUS,Mercedes,61,DNF,0
NC,77,Valtteri BottasBOT,Alfa Romeo Ferrari,51,DNF,0
NC,31,Esteban OconOCO,Alpine Renault,42,DNF,0
NC,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,0,DNF,0
