Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,50,1:29:08.289,25
2,16,Charles LeclercLEC,Ferrari,50,+2.070s,18
3,11,Sergio PerezPER,Red Bull Racing Honda RBPT,50,+2.241s,15
4,31,Esteban OconOCO,Alpine Renault,50,+18.665s,12
5,18,Lance StrollSTR,Aston Martin Aramco Mercedes,50,+20.067s,10
6,55,Carlos SainzSAI,Ferrari,50,+20.834s,8
7,44,Lewis HamiltonHAM,Mercedes,50,+21.755s,6
8,63,George RussellRUS,Mercedes,50,+23.091s,4
9,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,50,+25.964s,2
10,81,Oscar PiastriPIA,McLaren Mercedes,50,+29.496s,2
11,10,Pierre GaslyGAS,Alpine Renault,50,+34.270s,0
12,23,Alexander AlbonALB,Williams Mercedes,50,+43.398s,0
13,20,Kevin MagnussenMAG,Haas Ferrari,50,+44.825s,0
14,3,Daniel RicciardoRIC,AlphaTauri Honda RBPT,50,+48.525s,0
15,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,50,+50.162s,0
16,2,Logan SargeantSAR,Williams Mercedes,50,+50.882s,0
17,77,Valtteri BottasBOT,Alfa Romeo Ferrari,50,+85.350s,0
18,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,46,DNF,0
19,27,Nico HulkenbergHUL,Haas Ferrari,45,DNF,0
NC,4,Lando NorrisNOR,McLaren Mercedes,2,DNF,0
