Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,57,1:33:56.736,25
2,11,Sergio PerezPER,Red Bull Racing Honda RBPT,57,+11.987s,18
3,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,57,+38.637s,15
4,55,Carlos SainzSAI,Ferrari,57,+48.052s,12
5,44,Lewis HamiltonHAM,Mercedes,57,+50.977s,10
6,18,Lance StrollSTR,Aston Martin Aramco Mercedes,57,+54.502s,8
7,63,George RussellRUS,Mercedes,57,+55.873s,6
8,77,Valtteri BottasBOT,Alfa Romeo Ferrari,57,+72.647s,4
9,10,Pierre GaslyGAS,Alpine Renault,57,+73.753s,2
10,23,Alexander AlbonALB,Williams Mercedes,57,+89.774s,1
11,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,57,+90.870s,0
12,2,Logan SargeantSAR,Williams Mercedes,56,+1 lap,0
13,20,Kevin MagnussenMAG,Haas Ferrari,56,+1 lap,0
14,21,Nyck De VriesDEV,AlphaTauri Honda RBPT,56,+1 lap,0
15,27,Nico HulkenbergHUL,Haas Ferrari,56,+1 lap,0
16,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,56,+1 lap,0
17,4,Lando NorrisNOR,McLaren Mercedes,55,+2 laps,0
NC,31,Esteban OconOCO,Alpine Renault,41,DNF,0
NC,16,Charles LeclercLEC,Ferrari,39,DNF,0
NC,81,Oscar PiastriPIA,McLaren Mercedes,13,DNF,0
