Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,57,1:27:38.241,26
2,11,Sergio PerezPER,Red Bull Racing Honda RBPT,57,+5.384s,18
3,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,57,+26.305s,15
4,63,George RussellRUS,Mercedes,57,+33.229s,12
5,55,Carlos SainzSAI,Ferrari,57,+42.511s,10
6,44,Lewis HamiltonHAM,Mercedes,57,+51.249s,8
7,16,Charles LeclercLEC,Ferrari,57,+52.988s,6
8,10,Pierre GaslyGAS,Alpine Renault,57,+55.670s,4
9,31,Esteban OconOCO,Alpine Renault,57,+58.123s,2
10,20,Kevin MagnussenMAG,Haas Ferrari,57,+62.945s,1
11,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,57,+64.309s,0
12,18,Lance StrollSTR,Aston Martin Aramco Mercedes,57,+64.754s,0
13,77,Valtteri BottasBOT,Alfa Romeo Ferrari,57,+71.637s,0
14,23,Alexander AlbonALB,Williams Mercedes,57,+72.861s,0
15,27,Nico HulkenbergHUL,Haas Ferrari,57,+74.950s,0
16,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,57,+78.440s,0
17,4,Lando NorrisNOR,McLaren Mercedes,57,+87.717s,0
18,21,Nyck De VriesDEV,AlphaTauri Honda RBPT,57,+88.949s,0
19,81,Oscar PiastriPIA,McLaren Mercedes,56,+1 lap,0
20,2,Logan SargeantSAR,Williams Mercedes,56,+1 lap,0
