Pos,No,Driver,Car,Laps,Time/retired,Pts
1,3,Michael SchumacherMSC,Ferrari,53,1:17:09.672,10
2,4,Eddie IrvineIRV,Ferrari,53,+37.977s,6
3,10,Ralf SchumacherRSC,Jordan Mugen Honda,53,+41.152s,4
4,8,Mika HakkinenHAK,McLaren Mercedes,53,+55.671s,3
5,14,Jean AlesiALE,Sauber Petronas,53,+61.872s,2
6,9,Damon HillHIL,Jordan Mugen Honda,53,+66.688s,1
7,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,52,+1 lap,0
8,5,Giancarlo FisichellaFIS,Benetton Playlife,52,+1 lap,0
9,21,Toranosuke TakagiTAK,Tyrrell Ford,52,+1 lap,0
10,18,Rubens BarrichelloBAR,Stewart Ford,52,+1 lap,0
11,23,Esteban TueroTUE,Minardi Ford,51,+2 laps,0
12,20,Ricardo RossetROS,Tyrrell Ford,51,+2 laps,0
13,12,Jarno TrulliTRU,Prost Peugeot,50,+3 laps,0
NC,19,Jos VerstappenVER,Stewart Ford,39,DNF,0
NC,1,Jacques VilleneuveVIL,Williams Mecachrome,37,DNF,0
NC,17,Mika SaloSAL,Arrows,32,DNF,0
NC,6,Alexander WurzWUR,Benetton Playlife,24,DNF,0
NC,7,David CoulthardCOU,McLaren Mercedes,16,DNF,0
NC,11,Olivier PanisPAN,Prost Peugeot,15,DNF,0
NC,22,Shinji NakanoNAK,Minardi Ford,13,DNF,0
NC,15,Johnny HerbertHER,Sauber Petronas,12,DNF,0
NC,16,Pedro DinizDIN,Arrows,10,DNF,0
