Pos,No,Driver,Car,Time
1,28,Gerhard BergerBER,Ferrari,1:40.042
2,1,Alain ProstPRO,McLaren TAG,1:40.652
3,20,Thierry BoutsenBOU,Benetton Ford,1:40.850
4,27,Michele AlboretoALB,Ferrari,1:40.984
5,6,Nelson PiquetPIQ,Williams Honda,1:41.144
6,19,Teo FabiFAB,Benetton Ford,1:41.679
7,5,Nigel MansellMAN,Williams Honda,1:42.616
8,12,Ayrton SennaSEN,Lotus Honda,1:42.723
9,7,Riccardo PatresePAT,Brabham BMW,1:43.304
10,2,Stefan JohanssonJOH,McLaren TAG,1:43.371
11,8,Andrea de CesarisDEC,Brabham BMW,1:43.618
12,11,Satoru NakajimaNAK,Lotus Honda,1:43.685
13,18,Eddie  CheeverCHE,Arrows Megatron,1:44.277
14,17,Derek WarwickWAR,Arrows Megatron,1:44.626
15,24,Alessandro NanniniNAN,Minardi Motori Moderni,1:45.612
16,9,Martin BrundleBRU,Zakspeed,1:46.023
17,10,Christian DannerDAN,Zakspeed,1:46.116
18,25,Rene ArnouxARN,Ligier Megatron,1:46.200
19,30,Philippe AlliotALL,Lola Ford,1:47.395
20,3,Jonathan  PalmerPAL,Tyrrell Ford,1:47.775
21,16,Ivan CapelliCAP,March Ford,1:48.212
22,23,Adrian CamposCAM,Minardi Motori Moderni,1:48.337
23,29,Yannick DalmasDAL,Lola Ford,1:48.887
24,21,Alex CaffiCAF,Osella Alfa Romeo,1:49.017
25,26,Piercarlo GhinzaniGHI,Ligier Megatron,1:49.641
26,4,Philippe StreiffSTR,Tyrrell Ford,1:49.741
27,14,Roberto MorenoMOR,AGS Ford,1:50.212
