Pos,No,Driver,Car,Time
1,5,Nigel MansellMAN,Williams Honda,1:52.026
2,6,Nelson PiquetPIQ,Williams Honda,1:53.416
3,12,Ayrton SennaSEN,Lotus Honda,1:53.426
4,28,Gerhard BergerBER,Ferrari,1:53.451
5,27,Michele AlboretoALB,Ferrari,1:53.511
6,1,Alain ProstPRO,McLaren TAG,1:54.186
7,20,Thierry BoutsenBOU,Benetton Ford,1:54.300
8,7,Riccardo PatresePAT,Brabham BMW,1:55.064
9,19,Teo FabiFAB,Benetton Ford,1:55.339
10,2,Stefan JohanssonJOH,McLaren TAG,1:55.781
11,18,Eddie  CheeverCHE,Arrows Megatron,1:55.899
12,17,Derek WarwickWAR,Arrows Megatron,1:56.359
13,8,Andrea de CesarisDEC,Brabham BMW,1:57.101
14,24,Alessandro NanniniNAN,Minardi Motori Moderni,1:58.132
15,11,Satoru NakajimaNAK,Lotus Honda,1:58.649
16,25,Rene ArnouxARN,Ligier Megatron,1:59.117
17,26,Piercarlo GhinzaniGHI,Ligier Megatron,1:59.291
18,9,Martin BrundleBRU,Zakspeed,2:00.433
19,23,Adrian CamposCAM,Minardi Motori Moderni,2:00.763
20,10,Christian DannerDAN,Zakspeed,2:01.072
21,16,Ivan CapelliCAP,March Ford,2:02.036
22,30,Philippe AlliotALL,Lola Ford,2:02.347
23,4,Philippe StreiffSTR,Tyrrell Ford,2:03.098
24,3,Jonathan  PalmerPAL,Tyrrell Ford,2:04.677
25,14,Pascal FabreFAB,AGS Ford,2:07.361
26,21,Alex CaffiCAF,Osella Alfa Romeo,2:12.086
