Pos,No,Driver,Car,Time
1,12,Ayrton SennaSEN,Lotus Honda,1:25.826
2,5,Nigel MansellMAN,Williams Honda,1:25.946
3,6,Nelson PiquetPIQ,Williams Honda,1:25.997
4,1,Alain ProstPRO,McLaren TAG,1:26.135
5,19,Teo FabiFAB,Benetton Ford,1:27.270
6,28,Gerhard BergerBER,Ferrari,1:27.280
7,27,Michele AlboretoALB,Ferrari,1:28.074
8,7,Riccardo PatresePAT,Brabham BMW,1:28.421
9,2,Stefan JohanssonJOH,McLaren TAG,1:28.708
10,18,Eddie  CheeverCHE,Arrows Megatron,1:28.848
11,17,Derek WarwickWAR,Arrows Megatron,1:28.887
12,20,Thierry BoutsenBOU,Benetton Ford,1:28.908
13,11,Satoru NakajimaNAK,Lotus Honda,1:29.579
14,25,Rene ArnouxARN,Ligier Megatron,1:29.861
15,8,Andrea de CesarisDEC,Brabham BMW,1:30.382
16,9,Martin BrundleBRU,Zakspeed,1:31.094
17,24,Alessandro NanniniNAN,Minardi Motori Moderni,1:31.789
18,23,Adrian CamposCAM,Minardi Motori Moderni,1:31.818
19,10,Christian DannerDAN,Zakspeed,1:31.903
20,26,Piercarlo GhinzaniGHI,Ligier Megatron,1:32.248
21,21,Alex CaffiCAF,Osella Alfa Romeo,1:32.308
22,4,Philippe StreiffSTR,Tyrrell Ford,1:33.155
23,30,Philippe AlliotALL,Lola Ford,1:33.846
24,16,Ivan CapelliCAP,March Ford,1:33.872
25,3,Jonathan  PalmerPAL,Tyrrell Ford,1:34.632
26,14,Pascal FabreFAB,AGS Ford,1:36.159
27,22,Gabriele TarquiniTAR,Osella Alfa Romeo,1:43.446
